amount of files,code_session,time
1,loading df,0.4377148151397705
1,clean df,0.4195680618286133
1,filter by month,0.47606992721557617
1,filter by hour,0.20918536186218262
1,filter daily pattern,0.7144560813903809
1,filter by day of week,0.7039923667907715
1,detecting outliers,1.8390426635742188
2,loading df,0.6925523281097412
2,clean df,0.766334056854248
2,filter by month,1.2573363780975342
2,filter by hour,0.404494047164917
2,filter daily pattern,1.6348650455474854
2,filter by day of week,1.5442452430725098
2,detecting outliers,3.301374673843384
3,loading df,1.3237087726593018
3,clean df,1.1257405281066895
3,filter by month,1.9095275402069092
3,filter by hour,0.8044700622558594
3,filter daily pattern,2.313596487045288
3,filter by day of week,2.7853026390075684
3,detecting outliers,5.269176483154297
4,loading df,1.812406301498413
4,clean df,2.013713836669922
4,filter by month,2.3349618911743164
4,filter by hour,0.9674217700958252
4,filter daily pattern,2.278757333755493
4,filter by day of week,3.0380430221557617
4,detecting outliers,5.939562797546387
5,loading df,1.6981651782989502
5,clean df,1.3680436611175537
5,filter by month,2.314385414123535
5,filter by hour,0.8038730621337891
5,filter daily pattern,3.0705361366271973
5,filter by day of week,3.7697834968566895
5,detecting outliers,9.326810598373413
6,loading df,1.9704878330230713
6,clean df,1.4535510540008545
6,filter by month,2.4622933864593506
6,filter by hour,1.2911746501922607
6,filter daily pattern,3.5264031887054443
6,filter by day of week,4.383314847946167
6,detecting outliers,11.342674493789673
7,loading df,2.163007974624634
7,clean df,1.7263429164886475
7,filter by month,3.144361972808838
7,filter by hour,1.7307727336883545
7,filter daily pattern,4.51147198677063
7,filter by day of week,5.010483503341675
7,detecting outliers,12.090208530426025
8,loading df,2.568774461746216
8,clean df,2.7306997776031494
8,filter by month,3.4437572956085205
8,filter by hour,1.8124229907989502
8,filter daily pattern,5.411903142929077
8,filter by day of week,6.06431245803833
8,detecting outliers,15.857930660247803
9,loading df,3.186514139175415
9,clean df,2.5417449474334717
9,filter by month,3.906446695327759
9,filter by hour,2.638725757598877
9,filter daily pattern,5.370550155639648
9,filter by day of week,6.283418655395508
9,detecting outliers,17.946985960006714
10,loading df,3.3605189323425293
10,clean df,2.8465628623962402
10,filter by month,4.287125825881958
10,filter by hour,2.8354601860046387
10,filter daily pattern,5.937145709991455
10,filter by day of week,7.224076509475708
10,detecting outliers,19.842501401901245
11,loading df,4.174705982208252
11,clean df,3.4649715423583984
11,filter by month,5.6036906242370605
11,filter by hour,3.208399772644043
11,filter daily pattern,7.0588250160217285
11,filter by day of week,8.018159866333008
11,detecting outliers,24.744273900985718
12,loading df,4.415963172912598
12,clean df,4.838927507400513
12,filter by month,6.981515169143677
12,filter by hour,5.326732158660889
12,filter daily pattern,8.721939086914062
12,filter by day of week,9.402377367019653
12,detecting outliers,29.138172149658203
