Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;MS;CAMPO GRANDE;AUTO POSTO APARECIDA DO NORTE LTDA;86.807.609/0001-92;RUA BRILHANTE;2,787;;VILA BANDEIRANTES;79006-560;GASOLINA;01/07/2004;2,71;2,0888;R$ / litro;LIQUIGÁS
CO;MS;CAMPO GRANDE;AUTO POSTO APARECIDA DO NORTE LTDA;86.807.609/0001-92;RUA BRILHANTE;2,787;;VILA BANDEIRANTES;79006-560;ETANOL;01/07/2004;1,71;1,1877;R$ / litro;LIQUIGÁS
CO;MS;CAMPO GRANDE;AUTO POSTO APARECIDA DO NORTE LTDA;86.807.609/0001-92;RUA BRILHANTE;2,787;;VILA BANDEIRANTES;79006-560;DIESEL;01/07/2004;1,88;1,5279;R$ / litro;LIQUIGÁS
CO;MT;ALTA FLORESTA;AUTO POSTO BURIOL LTDA;04.481.758/0001-40;AVENIDA ARIOSTO DA RIVA;S/N;LOTE AC 35/2;CENTRO;78580-000;GASOLINA;01/07/2004;2,69;2,0735;R$ / litro;CBPI
CO;MT;ALTA FLORESTA;AUTO POSTO BURIOL LTDA;04.481.758/0001-40;AVENIDA ARIOSTO DA RIVA;S/N;LOTE AC 35/2;CENTRO;78580-000;ETANOL;01/07/2004;1,69;;R$ / litro;CBPI
CO;MT;ALTA FLORESTA;AUTO POSTO BURIOL LTDA;04.481.758/0001-40;AVENIDA ARIOSTO DA RIVA;S/N;LOTE AC 35/2;CENTRO;78580-000;DIESEL;01/07/2004;1,88;1,5146;R$ / litro;CBPI
CO;MT;ALTA FLORESTA;AUTO POSTO GONTIJO LTDA;36.947.737/0005-97;AVENIDA MATO GROSSO;1341;"";CIDADE BELA;78580-000;GASOLINA;01/07/2004;2,66;1,9833;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;MT;ALTA FLORESTA;AUTO POSTO GONTIJO LTDA;36.947.737/0005-97;AVENIDA MATO GROSSO;1341;"";CIDADE BELA;78580-000;ETANOL;01/07/2004;1,68;1,0508;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;MT;ALTA FLORESTA;AUTO POSTO GONTIJO LTDA;36.947.737/0005-97;AVENIDA MATO GROSSO;1341;"";CIDADE BELA;78580-000;DIESEL;01/07/2004;1,85;1,4998;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;MT;ALTA FLORESTA;VIDOTTO & MOLINA LTDA;32.985.244/0001-67;RUA PAPA JOÃO XXIII;777;B-5;SETOR B;78580-000;GASOLINA;01/07/2004;2,7;2,05;R$ / litro;BRANCA
CO;MT;ALTA FLORESTA;VIDOTTO & MOLINA LTDA;32.985.244/0001-67;RUA PAPA JOÃO XXIII;777;B-5;SETOR B;78580-000;ETANOL;01/07/2004;1,65;1,117;R$ / litro;BRANCA
CO;MT;ALTA FLORESTA;VIDOTTO & MOLINA LTDA;32.985.244/0001-67;RUA PAPA JOÃO XXIII;777;B-5;SETOR B;78580-000;DIESEL;01/07/2004;1,9;1,55;R$ / litro;BRANCA
CO;MT;ALTA FLORESTA;SARAVY E BRITO LTDA;32.952.558/0001-63;RODOVIA MT 208;S/N;KM 144/145;JARDIM PANORAMA;78580-000;GASOLINA;01/07/2004;2,68;2,09;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;MT;ALTA FLORESTA;SARAVY E BRITO LTDA;32.952.558/0001-63;RODOVIA MT 208;S/N;KM 144/145;JARDIM PANORAMA;78580-000;ETANOL;01/07/2004;1,65;0,95;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;MT;ALTA FLORESTA;SARAVY E BRITO LTDA;32.952.558/0001-63;RODOVIA MT 208;S/N;KM 144/145;JARDIM PANORAMA;78580-000;DIESEL;01/07/2004;1,89;1,5136;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
