,index,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
255157,274157,2017-04-11,00:00,0.0,949.8,949.8,949.1,-9999,22.8,18.9,23.6,22.7,19.5,18.6,82,76,79,21,1.9,0.8,CO,GO,MONTE ALEGRE DE GOIAS,A032,-13.24805555,-46.88972221,1253.0
287638,291625,2017-04-08,20:00,0.0,918.8,918.9,918.7,1087,30.1,12.3,30.8,29.7,13.2,12.0,35,32,34,121,7.0,3.0,CO,GO,POSSE,A017,-14.08916666,-46.36638888,834.0
299311,288290,2017-04-27,02:00,0.0,970.5,970.5,969.8,-9999,17.5,17.1,18.2,17.5,18.2,17.1,100,97,97,230,5.8,3.2,CO,MS,BATAGUASSU,A759,-21.75138888,-52.47055554,387.0
171639,235631,2017-11-16,18:00,0.0,966.5,967.4,966.5,1279,28.9,21.9,31.0,28.8,22.0,18.9,66,49,66,288,6.2,1.9,CO,MT,GAUCHA DO NORTE,A930,-13.18472221,-53.2575,379.0
20832,159828,2017-03-23,07:00,0.0,977.9,978.5,977.8,-9999,22.2,20.5,22.2,21.7,20.5,19.9,90,89,90,93,1.9,0.7,CO,MT,CARLINDA,A926,-10.00527777,-55.79055555,306.0
298172,287151,2017-03-10,15:00,0.0,968.1,968.7,968.1,2060,32.4,22.6,32.5,29.4,22.7,20.0,64,52,56,345,7.2,2.4,CO,MS,BATAGUASSU,A759,-21.75138888,-52.47055554,387.0
181319,230321,2017-11-19,17:00,0.0,933.7,934.5,933.7,1543,26.9,19.4,27.0,25.7,19.9,18.3,67,61,64,299,5.7,2.1,CO,GO,JATAI,A016,-17.92388888,-51.71777777,582.0
105690,199665,2017-10-09,04:00,0.0,987.0,987.6,987.0,-9999,23.6,22.7,23.8,23.6,22.8,22.7,95,94,95,304,0.0,0.0,CO,MT,APIACAS,A910,-9.56388888,-57.3936111,220.0
21553,160549,2017-04-22,08:00,0.0,979.6,979.6,979.0,-9999,21.8,20.5,21.8,21.6,20.5,20.2,92,92,92,63,2.0,0.7,CO,MT,CARLINDA,A926,-10.00527777,-55.79055555,306.0
366193,325185,2017-11-16,09:00,0.0,887.8,887.8,887.3,40,18.5,15.9,18.6,18.4,16.4,15.9,88,85,85,45,8.5,4.6,CO,DF,BRAZLANDIA,A042,-15.59972221,-48.1311111,1143.0
115317,209292,2017-11-14,07:00,0.0,979.8,979.9,979.7,-9999,16.0,14.6,17.0,16.0,15.3,14.3,92,84,91,129,1.0,0.2,CO,MS,COXIM,A720,-18.51222222,-54.73583333,252.0
170806,234798,2017-10-13,01:00,0.0,965.8,965.8,965.2,-9999,27.4,18.7,29.1,27.4,18.8,18.4,59,52,59,299,0.0,0.0,CO,MT,GAUCHA DO NORTE,A930,-13.18472221,-53.2575,379.0
288197,292184,2017-05-02,03:00,0.0,923.4,923.9,923.4,-9999,21.7,14.6,21.9,21.4,14.9,14.6,66,63,64,104,7.9,3.2,CO,GO,POSSE,A017,-14.08916666,-46.36638888,834.0
173721,237713,2017-02-11,12:00,0.0,988.8,988.8,988.0,316,24.1,23.2,24.1,23.6,23.2,22.8,95,95,95,81,5.3,2.5,CO,MT,SAO FELIX  DO ARAGUAIA,A921,-11.61888888,-50.72777777,218.0
145688,224691,2017-08-17,22:00,0.0,876.6,876.6,876.0,-9999,21.9,2.6,23.9,21.1,5.5,0.7,35,25,28,24,5.8,2.6,CO,GO,ALTO PARAISO DE GOIAS,A024,-14.13305554,-47.52305554,1260.0
271206,275199,2017-01-03,15:00,0.0,929.3,929.9,929.3,3550,31.1,15.4,31.7,30.4,18.1,14.7,46,37,39,10,6.4,2.7,CO,GO,CAIAPONIA,A023,-16.96666666,-51.81749999,737.0
344443,318424,2017-04-30,11:00,-9999.0,1002.1,1002.1,1001.4,215,21.9,20.1,21.9,21.1,20.7,20.0,96,89,89,242,3.5,1.1,CO,MT,CACERES,A941,-16.07444443,-57.69277777,116.0
110598,204573,2017-05-01,16:00,0.0,986.9,987.5,986.9,1836,28.4,22.2,28.6,27.5,22.5,21.3,71,66,69,153,4.4,1.2,CO,MS,COXIM,A720,-18.51222222,-54.73583333,252.0
132973,211976,2017-03-06,03:00,0.0,966.5,966.5,966.0,-9999,22.2,20.9,22.4,22.2,21.1,20.9,93,92,93,51,0.9,0.0,CO,MS,MARACAJU,A731,-21.60916666,-55.17777777,400.0
134535,213538,2017-05-10,05:00,0.0,969.1,969.3,969.1,-9999,20.2,19.1,20.2,19.8,19.2,18.8,94,94,94,219,1.8,0.9,CO,MS,MARACAJU,A731,-21.60916666,-55.17777777,400.0
100754,194740,2017-10-28,04:00,0.0,975.2,975.5,975.2,-9999,23.0,21.2,23.1,22.8,21.2,21.0,89,89,89,1,3.7,0.6,CO,MT,SALTO DO CEU,A936,-15.13583333,-58.115,303.0
113695,207670,2017-09-07,17:00,0.0,983.9,985.2,983.9,3061,36.5,5.6,36.5,34.0,8.4,5.3,20,15,15,7,5.7,0.8,CO,MS,COXIM,A720,-18.51222222,-54.73583333,252.0
390703,334680,2017-12-17,00:00,0.0,934.1,938.6,934.1,-9999,24.3,22.1,24.8,24.0,22.1,21.8,88,84,87,88,3.3,0.1,CO,MT,ITIQUIRA,A933,-17.29722221,-54.83722221,585.0
31998,155981,2017-11-28,05:00,-9999.0,959.2,959.6,959.2,-9999,22.2,21.3,22.5,22.1,21.3,20.8,95,91,95,223,1.0,0.0,CO,MT,NOVA UBIRATA,A929,-13.68638888,-54.95611111,518.0
109434,203409,2017-03-14,04:00,-9999.0,983.2,983.8,983.2,-9999,23.4,21.3,23.5,23.1,21.6,21.3,91,88,88,97,2.9,0.0,CO,MS,COXIM,A720,-18.51222222,-54.73583333,252.0
336168,310158,2017-10-25,06:00,0.0,976.8,977.0,976.6,-9999,24.3,20.2,24.6,24.1,20.2,19.8,78,75,78,304,1.6,1.1,CO,MT,RONDONOPOLIS,A907,-16.45,-54.56666666,284.0
205319,254296,2017-01-03,11:00,0.0,969.5,969.5,969.3,488,22.9,21.5,22.9,21.5,21.5,20.2,93,92,92,273,1.9,0.0,CO,MT,SORRISO,A904,-12.55,-55.71666666,380.0
379070,338069,2017-07-28,00:00,0.0,988.2,988.2,987.4,-9999,25.9,7.9,28.2,25.9,7.9,7.1,32,26,32,95,4.1,0.7,CO,MT,CUIABA,A901,-15.55916666,-56.72944443,240.0
291790,295777,2017-09-28,20:00,0.0,920.7,920.8,920.6,403,31.3,8.2,31.6,31.0,8.4,8.0,25,23,24,15,1.9,0.0,CO,GO,POSSE,A017,-14.08916666,-46.36638888,834.0
96801,190787,2017-05-16,11:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,SALTO DO CEU,A936,-15.13583333,-58.115,303.0
108616,202591,2017-02-08,02:00,-9999.0,981.3,981.5,980.5,-9999,23.7,22.5,24.0,23.7,22.8,22.5,93,92,93,182,0.0,0.0,CO,MS,COXIM,A720,-18.51222222,-54.73583333,252.0
251250,270250,2017-10-30,05:00,0.0,970.1,970.9,970.1,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,93,90,92,255,0.8,0.1,CO,MS,AGUA CLARA,A756,-20.44444444,-52.87555554,338.0
20536,345365,2017-03-07,05:00,0.0,952.3,952.6,952.3,-9999,22.4,20.3,23.8,22.4,20.6,20.0,88,80,88,134,2.0,0.0,CO,GO,GOIAS,A014,-15.93916666,-50.14138888,512.0
266941,46892,2018-09-04,20:00,0.0,982.3,982.4,982.1,1749,27.3,6.5,28.0,27.3,8.1,6.5,29,26,27,207,8.3,2.9,CO,MT,PONTES E LACERDA,A937,-15.25111111,-59.34666666,256.0
304260,69196,2018-03-23,04:00,-9999.0,973.6,974.2,973.6,-9999,24.2,23.6,24.3,23.8,23.7,23.3,97,97,97,9,2.2,0.0,CO,MT,QUERENCIA,A916,-12.5986111,-52.19444444,339.0
84894,392849,2017-08-07,17:00,0.0,929.9,930.9,929.9,2617,30.3,5.5,31.6,29.8,6.6,5.5,22,20,21,319,6.4,3.4,CO,MT,ALTO ARAGUAIA,A909,-17.33944444,-53.22416666,753.0
26087,350916,2017-10-24,12:00,0.0,954.1,954.2,953.8,1385,30.4,15.2,30.4,28.2,16.0,14.9,46,40,40,80,0.0,0.0,CO,GO,GOIAS,A014,-15.93916666,-50.14138888,512.0
165757,20696,2018-08-26,06:00,0.0,981.6,982.0,981.6,-9999,22.0,19.8,22.5,21.9,20.0,19.7,88,86,87,185,4.0,1.4,CO,MT,ALTA FLORESTA,A924,-9.84944444,-56.1,289.0
41451,366255,2017-10-15,10:00,0.0,902.2,902.2,901.6,322,26.3,5.2,26.3,25.2,5.2,4.3,26,25,26,40,3.7,2.0,CO,GO,LUZIANIA,A012,-16.27222222,-47.96638889,959.5
58539,366494,2017-08-04,14:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,CHAPADAO DO SUL,A730,-18.80222222,-52.60277777,818.0
217554,42514,2018-02-21,08:00,0.0,948.9,949.0,948.9,-9999,21.7,21.0,21.7,21.5,21.0,20.8,96,95,95,336,1.6,0.5,CO,GO,ITAPACI,A015,-14.98027777,-49.53944444,522.0
329979,79905,2018-02-28,03:00,0.0,992.7,993.1,992.7,-9999,23.8,22.8,24.4,23.5,23.1,22.3,95,92,94,59,1.4,0.0,CO,MS,AQUIDAUANA,A719,-20.47555554,-55.78388888,155.0
209899,34859,2018-04-08,09:00,-9999.0,997.1,997.1,996.6,-9999,24.3,24.3,24.7,24.2,24.6,24.2,100,100,100,84,2.7,0.6,CO,MT,CACERES,A941,-16.07444443,-57.69277777,116.0
359210,79137,2018-08-01,07:00,0.0,992.0,992.2,991.9,34,13.2,8.2,13.7,13.0,8.4,7.6,74,67,72,226,3.7,1.5,CO,MS,BELA VISTA,A757,-22.10083333,-56.53999999,208.0
203128,43088,2018-09-05,02:00,0.0,979.2,979.2,979.1,-9999,14.0,9.6,15.2,13.8,9.6,9.0,75,67,75,271,4.9,2.6,CO,MS,ITAQUIRAI,A752,-23.44944444,-54.18166666,336.0
189775,29720,2018-09-19,08:00,0.0,950.2,950.2,949.5,-9999,21.4,20.0,21.5,21.2,20.2,19.9,93,92,92,236,2.6,0.0,CO,MT,CAMPO NOVO DOS PARECIS,A905,-13.78333333,-57.83333333,570.0
83999,391954,2017-07-01,10:00,0.0,935.4,935.4,934.9,-9999,16.2,11.1,16.8,16.2,11.3,11.1,72,69,72,161,4.1,1.8,CO,MT,ALTO ARAGUAIA,A909,-17.33944444,-53.22416666,753.0
224032,33992,2018-03-16,08:00,0.0,929.5,929.7,929.5,-9999,20.9,19.8,21.5,20.9,20.0,19.7,93,90,93,110,4.6,0.0,CO,GO,MORRINHOS,A003,-17.71666667,-49.1,771.42
227671,37631,2018-08-14,23:00,0.0,929.1,929.3,929.1,-9999,22.3,4.9,23.0,22.1,7.3,4.9,38,32,32,220,2.9,0.0,CO,GO,MORRINHOS,A003,-17.71666667,-49.1,771.42
282494,62417,2018-03-01,11:00,0.0,970.6,970.6,969.2,370,24.8,22.1,24.8,22.7,22.2,20.9,90,85,85,98,3.3,1.1,CO,MT,SORRISO,A904,-12.55,-55.71666666,380.0
5987,345806,2017-06-15,09:00,0.0,921.5,921.5,921.3,-9999,18.2,15.6,18.3,18.0,15.9,15.6,87,84,85,103,4.9,2.4,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0
357540,77467,2018-05-23,17:00,0.0,995.3,996.3,995.3,-9999,23.1,12.2,23.7,22.0,12.8,11.3,51,50,50,58,3.1,1.1,CO,MS,BELA VISTA,A757,-22.10083333,-56.53999999,208.0
77578,385533,2017-10-06,21:00,-9999.0,973.0,973.3,973.0,395,30.6,-9999.0,32.2,30.6,-9999.0,-9999.0,-9999,-9999,-9999,358,8.1,3.8,CO,MS,RIO BRILHANTE,A743,-21.77472221,-54.52805554,329.0
17663,357482,2017-10-14,21:00,0.0,974.6,974.6,974.3,417,28.6,23.6,32.7,28.6,24.1,21.4,76,53,74,56,3.0,0.9,CO,MT,ALTA FLORESTA,A924,-9.84944444,-56.1,289.0
285888,65811,2018-07-20,21:00,0.0,970.0,970.0,969.7,534,31.0,10.9,32.7,31.0,10.9,10.0,29,25,29,100,4.4,2.4,CO,MT,SORRISO,A904,-12.55,-55.71666666,380.0
154373,24327,2018-07-15,09:00,0.0,946.8,946.8,946.3,-9999,16.0,12.1,17.5,15.9,12.1,11.8,78,70,78,35,1.1,0.8,CO,GO,IPORA,A028,-16.42305554,-51.14805555,625.0
264119,59075,2018-04-17,09:00,0.0,978.0,978.0,977.4,-9999,19.5,15.4,19.6,19.4,15.8,15.3,80,77,77,146,5.9,2.8,CO,MS,BRASILANDIA,S705,-21.29833333,-52.06888888,345.0
40908,365712,2017-09-22,19:00,0.0,905.3,905.8,905.3,586,22.3,10.8,22.4,21.5,10.9,10.1,49,46,48,98,8.4,4.3,CO,GO,LUZIANIA,A012,-16.27222222,-47.96638889,959.5
333837,83763,2018-08-07,21:00,0.0,994.5,994.6,994.3,498,27.4,18.4,29.4,27.4,18.8,17.5,58,49,58,129,2.4,0.0,CO,MS,AQUIDAUANA,A719,-20.47555554,-55.78388888,155.0
169663,24602,2018-02-05,00:00,-9999.0,991.4,991.4,990.8,-9999,28.0,19.8,29.1,28.0,20.0,19.6,61,57,61,166,1.1,0.0,CO,MS,MIRANDA,A722,-20.38333333,-56.41666666,140.0
49852,374656,2017-09-30,11:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,GO,MINEIROS,A026,-17.45472222,-52.60111111,862.0
77605,385560,2017-10-08,00:00,-9999.0,976.0,976.0,975.3,-9999,20.9,-9999.0,21.4,20.9,-9999.0,-9999.0,-9999,-9999,-9999,356,4.6,2.8,CO,MS,RIO BRILHANTE,A743,-21.77472221,-54.52805554,329.0
242523,52483,2018-01-11,13:00,0.0,956.9,957.1,956.8,2869,30.2,19.5,30.2,27.9,20.1,18.6,59,53,53,47,9.3,1.7,CO,GO,GOIAS,A014,-15.93916666,-50.14138888,512.0
43767,368571,2017-01-19,22:00,0.0,931.8,931.8,930.3,186,24.5,19.3,26.4,24.5,19.4,18.7,73,63,73,30,6.9,1.8,CO,GO,MINEIROS,A026,-17.45472222,-52.60111111,862.0
250302,206095,2018-01-28,05:00,0.0,927.2,927.7,927.1,-9999,21.8,20.2,22.3,21.8,20.2,20.0,91,88,91,3,4.1,1.4,CO,GO,CAIAPONIA,A023,-16.96666666,-51.81749999,737.0
149985,150778,2018-10-05,08:00,7.6,885.9,886.0,885.4,-9999,19.9,17.0,22.9,19.9,17.0,15.3,84,63,84,123,3.4,1.5,CO,DF,BRASILIA,A001,-15.78944444,-47.92583332,1159.54
381232,277002,2018-09-01,18:00,0.0,976.8,977.6,976.8,2611,37.3,9.8,37.5,36.5,11.6,9.3,22,18,19,92,6.0,2.3,CO,MT,GUARANTA DO NORTE,A906,-9.95,-54.88333333,320.0
20655,106220,2018-04-23,14:00,0.0,941.4,941.6,941.4,2854,24.4,15.2,24.6,21.7,16.4,15.0,71,56,56,146,3.3,2.0,CO,GO,JATAI,A016,-17.92388888,-51.71777777,582.0
65387,120950,2018-12-28,08:00,0.0,986.0,986.0,985.3,-9999,23.4,22.6,23.8,23.4,23.0,22.6,96,94,95,141,1.8,0.3,CO,GO,SAO MIGUEL DO ARAGUAIA,A031,-12.81972221,-50.34166666,340.0
22215,107780,2018-06-27,14:00,0.0,942.4,942.8,942.4,2255,26.7,12.1,26.7,21.3,13.5,11.2,60,39,40,294,4.1,2.0,CO,GO,JATAI,A016,-17.92388888,-51.71777777,582.0
63950,119502,2018-03-11,04:00,0.0,970.8,971.6,970.8,-9999,22.5,20.8,23.0,22.4,21.0,20.8,91,88,90,258,4.9,2.6,CO,MT,SINOP,A917,-11.98222221,-55.56583333,371.0
372752,268543,2018-02-15,05:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,PEDRO GOMES,S714,-18.07277777,-54.54888888,251.0
78051,123832,2018-06-17,16:00,0.0,888.4,888.9,888.4,2870,22.5,8.9,22.7,21.7,9.7,7.7,45,39,42,82,0.0,0.0,CO,GO,CRISTALINA,A036,-16.78805555,-47.61166666,1202.0
151186,151979,2018-11-24,09:00,0.0,885.5,885.5,884.7,-9999,18.4,17.2,18.6,18.4,17.3,17.0,93,91,92,325,4.8,0.5,CO,DF,BRASILIA,A001,-15.78944444,-47.92583332,1159.54
66305,121868,2018-02-04,14:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,SAO GABRIEL DO OESTE,A732,-19.42027777,-54.55305555,647.0
339663,250436,2018-02-19,18:00,0.0,925.0,925.9,925.0,2433,29.4,18.6,31.5,29.4,19.7,16.8,53,43,52,215,6.0,2.8,CO,GO,PIRES DO RIO,A033,-17.30416666,-48.28416666,752.0
178930,166077,2018-07-04,19:00,0.0,959.1,959.3,959.0,2029,32.2,8.7,32.9,31.7,9.0,8.4,24,23,23,219,7.9,3.1,CO,MT,NOVA UBIRATA,A929,-13.68638888,-54.95611111,518.0
900,101459,2018-02-17,09:00,0.0,923.0,923.1,922.4,-9999,21.1,19.5,21.3,20.9,19.5,19.3,91,89,90,89,0.0,0.0,CO,MS,CHAPADAO DO SUL,A730,-18.80222222,-52.60277777,818.0
13176,98729,2018-08-05,17:00,-9999.0,967.6,968.6,967.6,476,17.4,12.8,17.6,17.1,13.6,12.6,78,74,75,236,1.7,0.0,CO,MS,AMAMBAI,A750,-23.0025,-55.32944443,431.0
386414,282184,2018-04-05,16:00,0.0,980.8,981.6,980.8,164,29.2,22.6,29.7,28.7,23.6,22.2,71,67,68,342,3.8,1.7,CO,MT,COTRIGUACU,A919,-9.90611111,-58.57194443,261.0
58871,114423,2018-08-11,13:00,0.0,892.6,892.6,892.1,2035,23.9,7.9,24.2,22.2,8.9,7.6,41,36,36,164,4.3,1.6,CO,DF,BRAZLANDIA,A042,-15.59972221,-48.1311111,1143.0
182034,167835,2018-09-16,01:00,0.0,957.7,957.7,956.8,-9999,25.4,20.5,28.0,25.4,20.9,18.3,74,56,74,232,3.2,1.7,CO,MT,NOVA UBIRATA,A929,-13.68638888,-54.95611111,518.0
213620,184413,2018-08-07,19:00,0.0,968.6,969.0,968.5,1786,27.9,15.0,28.1,27.4,15.5,15.0,48,45,45,122,6.0,3.2,CO,MS,PARANAIBA,A710,-19.69527777,-51.18138888,424.0
29833,115398,2018-05-11,00:00,0.0,988.3,988.3,987.9,-9999,24.4,17.9,24.9,24.4,18.3,17.9,68,66,67,100,3.9,2.7,CO,GO,SAO MIGUEL DO ARAGUAIA,A031,-12.81972221,-50.34166666,340.0
310857,236645,2018-07-25,03:00,0.0,904.2,904.2,904.1,-9999,16.8,9.2,17.5,15.9,9.2,8.8,62,58,61,131,5.1,3.0,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0
269389,211191,2018-08-28,13:00,0.0,935.6,935.7,935.3,2262,27.4,12.0,27.5,25.6,13.0,11.8,44,38,39,88,9.2,4.3,CO,GO,CAIAPONIA,A023,-16.96666666,-51.81749999,737.0
292400,233172,2018-07-01,12:00,0.0,974.7,974.7,974.1,676,20.1,15.8,20.2,17.9,16.1,14.5,82,75,76,111,3.3,1.7,CO,MS,ANGELICA,S701,-22.14805555,-53.76361111,347.0
342312,253085,2018-06-10,03:00,0.0,932.6,933.0,932.6,-9999,19.4,16.0,19.7,19.1,16.3,15.8,82,80,81,175,0.0,0.0,CO,GO,PIRES DO RIO,A033,-17.30416666,-48.28416666,752.0
25194,110759,2018-10-29,17:00,0.0,935.3,936.5,935.3,3384,32.6,17.4,33.1,31.1,19.6,16.3,50,39,40,259,6.1,1.9,CO,GO,JATAI,A016,-17.92388888,-51.71777777,582.0
92235,123001,2018-08-03,23:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,SINOP,A917,-11.98222221,-55.56583333,371.0
117875,148641,2018-06-05,09:00,0.0,954.8,954.9,954.7,-9999,15.2,-9999.0,15.5,15.1,-9999.0,-9999.0,-9999,-9999,-9999,186,3.4,2.0,CO,MS,CAMAPUA,S707,-19.58749999,-54.02999999,540.0
187960,173753,2018-05-20,15:00,-9999.0,1001.2,1002.0,1001.2,2433,21.4,12.0,21.9,20.1,13.0,11.8,61,55,55,48,4.8,2.0,CO,MT,PORTO ESTRELA,A935,-15.54638888,-57.38166666,145.0
335356,246129,2018-08-24,07:00,0.0,956.3,956.7,956.3,-9999,21.9,11.1,22.7,21.6,11.6,11.0,51,48,50,53,4.1,2.2,CO,GO,SAO SIMAO,A011,-18.96666666,-50.61666666,488.51
293756,234528,2018-08-27,00:00,0.0,982.1,982.1,981.7,-9999,14.5,-0.3,15.4,14.5,0.0,-0.8,36,34,36,198,4.6,2.6,CO,MS,ANGELICA,S701,-22.14805555,-53.76361111,347.0
173469,174238,2018-05-07,22:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,CORUMBA,A724,-18.99666666,-57.63749999,126.0
