Artist(s),song,text,Length,emotion,Genre,Album,Release Date,Key,Tempo,Loudness (db),Time signature,Explicit,Popularity,Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness,Good for Party,Good for Work/Study,Good for Relaxation/Meditation,Good for Exercise,Good for Running,Good for Yoga/Stretching,Good for Driving,Good for Social Gatherings,Good for Morning Routine,Similar Artist 1,Similar Song 1,Similarity Score 1,Similar Artist 2,Similar Song 2,Similarity Score 2,Similar Artist 3,Similar Song 3,Similarity Score 3
"03 Greedo,OMB Peezy",100 Bands,"[Intro: 03 Greedo] AceTheFace 03, havin' it, havin' it, havin' it Havin' it, havin' it Ron Ron do that shit  [Chorus: 03 Greedo] Havin' a hundred bands (a hundred), havin' a hundred band conversation Money and rubber bands, I put the money right back in rotation It's a money situation, lil money, big faces (yeah yeah) Havin' a hundred bands, havin' a hundred band conversation Havin' a hundred bands, havin' a hundred band conversation Money and rubber bands, I put the money right back in rotation It's a money situation, lil money, big faces (yeah yeah) Havin' a hundred bands, havin' a hundred band conversation  [Verse 1: 03 Greedo] Havin' it, havin' it, handling packages, 'member we never was having shit Probably 'cause my lil habitat rarely successes and average hate, just be mad at me Havin' an attitude like they don't have a bitch, maybe 'cause you sellin' half of shit Haven't seen half of it, have you went after it? Have you been accurate? happy my time got immaculate You haven't been where I've been and you sure haven't macked a bitch Happy feet with the brick stack when I dance on it I get the bird just to step on it Have you been fugitives, not with the foolishness That's where the tooly is, dirty pineapple look like an Orange Julius Dropped out of school but I stay where the ruler is No we ain't cool but I'm cold as the cooler is Music helped a nigga live, now I gotta feed the kid I can't blow a nigga wig, so I put a hundred on his wig [Chorus: 03 Greedo] Havin' a hundred bands (a hundred), havin' a hundred band conversation Money and rubber bands, I put the money right back in rotation It's a money situation, lil money, big faces (yeah yeah) Havin' a hundred bands, havin' a hundred band conversation Havin' a hundred bands, havin' a hundred band conversation Money and rubber bands, I put the money right back in rotation It's a money situation, lil money, big faces (yeah yeah) Havin' a hundred bands, havin' a hundred band conversation  [Verse 2: OMB Peezy] Havin' a hundred grand conversation I'm runnin' to them bands, I ain't playin' I do the dash in that Benz Fuck the police 'cause they thought I was racin' I had to go to a different location White fans made me stop being racist That bitch got mad at me, callin' my other one Whip out my dick and put nut on her face Taste it I'm sippin' purple and smokin' on purple That fuse of purple be me lazy Boom, we slidin' for murder, you know that's my type of occasion Ayy, I got a hundred bands for you to put his face on the pavement Hop out with my gun in hand, make you do the running man I just might kill your daddy, for the shit that his son was sayin' Hop out with my gun in hand, make you do the running man I just might kill your daddy, for the shit that his son was sayin' Peezy [Chorus: 03 Greedo] Havin' a hundred bands (a hundred), havin' a hundred band conversation Money and rubber bands, I put the money right back in rotation It's a money situation, lil money, big faces (yeah yeah) Havin' a hundred bands, havin' a hundred band conversation Havin' a hundred bands, havin' a hundred band conversation Money and rubber bands, I put the money right back in rotation It's a money situation, lil money, big faces (yeah yeah) Havin' a hundred bands, havin' a hundred band conversation",03:13,joy,hip hop,The Wolf of Grape Street,9th March 2018,C# Maj,140,-7.89db,4/4,Yes,19,71,66,23,13,11,7,0,0,0,0,1,0,0,0,0,0,Brooke Candy,Paper or Plastic,0.9821148548424493,"Slim Thug,Rick Ross",How We Do It,0.9801296075794913,"Benjii Baby,K Suave",Moan,0.9795685238296055
1991,Workaholics,"[Oddyssey] I got this one bad bitch that always calls me after work When ho becomes a religion, She prays whiles she makes it twerk These sluts want the D, I agree, They say they crave it I put a motherfucking cuff on the pussy, I enslave it Bitch listen closely, You can hear the fans raving us I go fucking bananas, so you know them apes is bathing us 8 doobies to the face? Nigga fuck that! A couple of bong rips, Her thong slips, I'm up in that Oddy got the dope dick, She chokes while she sucks it Bitch smoke pole like a crack addict with crust lips Rub clits, please dont worry about diseases Makin bitches scrub with Purrel before they begin to please it  [Raiden] We cause mischief, pitting and splitting up in the living room Always in the spotlight, You in the dark getting ridiculed On that diesel fuel, Going harder than charger pistons Think you've had enough, You haven't, Quit your bitching, Fucking drink it I didn't come to stand around and have all these people looking At some faggots standing by the wall looking like fucking pussies Get it straight, No edge, But if you are then get the fuck out No bitch shit here, You fight back or get knocked the fuck out Epileptic flow, It's like Rozay series of seizures I ain't Kreayshawn, But all these bitches still at my leisure Ignorance is bliss, Yet I'm always outstanding her I did it on you niggas, Shitted on em, Jenna Hannenburg [Oddyssey] Uhm, Uh Okay you fancy huh? Spit a lot of game for a bitch that hasnt Anti'd Up Get it straight, Don't act wrong and get fussy Got bitches rocking Mags round the house in they undies And bluntly, I tell them I'm done and that they could leave Wipe me down and get a tissue for the semen on your sleeve Leave the bitches on the futon, My kids on they forehead Bust a nut, That's Fucking up, They makeup like a warhead Shitted on em, Nicki menage a trois in this fat bitch Running on this track, Cardio like a fat bitch Iron in her diet, She suffering from anemia I feed the dick to these birds, Part 1, Fuck bulemia Part 2, The Weeknd, And some Mike's Hard Lemonade Some Jager, I wager, Fuck with this hand made hand grenade Wondering if this plundering, Tumblring gang of thieves Will ever seize being dope to a tolerable degree I see you. You scared of the wear and tear of the heat From the fire under your seat, While you rappin of beat You shoot me in a dream, You better wake up and apologize Rene Descartes, Blow kush and philosiphise  [Raiden] Look if Yeezy swagger killed him off how come I ain't extinct? I tame a bitch, I'm like a zookeeper man I cage this shit Taking many hits from this excellent herbal Cali excrement Experiment, This leaf has got me on another exodus Blow an ounce green comes in all these different flavors Breaking every fucking law, What you expect from teenagers? I just want a good time, Blow this party up like The Hundreds But if bitches stay persistent I'm bound to throw some punches His face bloody, That shit definitely wasn't an accident This party ain't hardcore until someone leaves in an ambulance If I remember anything, Tonight wasn't good enough Now turn that fucking Flocka up, I still ain't feeling hood enough",03:42,anger,"drum and bass,electronic",Odyssey,22nd July 2022,F min,174,-3.51db,4/4,No,33,91,46,31,5,15,0,90,0,0,0,0,0,0,0,0,0,Circadian,Benefit Concert,0.9857871215513213,Amon Amarth,Coming of the Tide,0.9855406192170506,K Motionz,Tell em x Yeah Yeah,0.9834101451885187
"4batz,Drake",OVO Sound Radio Episode 36 Tracklist,"Oliver Set Childish Gambino - Terrified Post Malone - Deja Vu ft. Justin Bieber Roy Woods - Chilli Peppers ft. Majid Jordan The xx - Say Something Loving Big Lean - Stamina (Remix) ft. PARTYNEXTDOOR [NEW] Wizkid - Daddy Yo Solange - Don't Touch My Hair ft. Sampha The Weeknd - Stargirl Interlude ft. Lana Del Rey The Weeknd - I Feel It Coming ft. Daft Punk Booggz - Recount It Fredo - Pattern Gang Jeezy - All There  ft. Bankroll Fresh Murda - Novacane ft. Pressa Gucci Mane - Both ft. Drake Wheezy - 200,000 ft. Quavo, Lil Uzi Vert and Shad Da God The Weeknd - All I Know ft. Future Suspect - Wonder What? (Remix)  ft. Giggs  Jordan Set Ross from Friends - Talk To Me You'll Understand Drake - Feel No Ways Korede Bello - Do Like That The Streets - Has It Come To This Giggs - Clipped Him Smokepurpp - Ski Mask Brandy - Angel In Disguise Shanks & Bigfoot - Sweet Like Chocolate Four Tet - Locked Drake - Fire & Desire Daft Punk - Verdis Quo 50 Cent - Hate It or Love It (G Unit Remix) Majid Jordan - Small Talk The S.O.S. Band - No One's Gonna Love You Majid Jordan - Love Is Always There Majid Jordan - Chill Pad Deluxe Album: Roy Woods - Nocturnal 1. Magic 2. Four Seasons 3. Chilli Peppers ft. Majid Jordan 4. Involved 5. Instinct ft. MadeinTYO 6. Love You 7. Dangerous",03:51,love,hip hop,act ii: date @ 8 (feat. Drake) [remix],8th March 2024,C Maj,102,-9.3db,4/4,Yes,77,55,55,41,16,6,32,0,0,0,0,0,0,0,1,0,1,"Yung Bleu,Drake",Water Works,0.9812705817413692,"A$AP Ferg,Brent Faiyaz,Salaam Remi",Dope Lord Move That Dope Remix,0.9724820118108208,SZA,Teenage Dreamers,0.9702264300946336
"4Sayken,Baliztik,Revus,Teezee",Bulldagger Stole My Bitch,"*Brother Marquis does all the verses  {Shari Lewis} Come ... give us a little kiss ... let me make it better {Dolemite} These rotten ass bitches is gonna fuckin' wanna know!  Verse 1 I met this bitch at a hip-hop disco A club full of divas in San Francisco I asked her name, the bitch said Shirley I asked her for some pussy, she said ""I like girlies."" ""What that mean, hoe, that I can't have it?"" She said, ""Nigga, recognize I'm a female faggot!"" You triflin'-ass bitches know that shit ain't right Stinkin'-ass dyke, put some dick in your life 'Cause we know where the nose goes in the nymphos Playin' with dildos and finger-fuckin' booty holes Belly to belly, skin to skin Fuckin' like hell, but ain't no dick goin' in If they like pussy that much, then let me fuck it Stick it in, take it out, and let 'em suck it But they game is strong and they tongue is long A bulldagger beat and got yo' bitch and gone! Chorus:  Brother Marquis and Mr. Mixx A bulldagger done stole my bitch She'd rather suck pussy, she don't want no dick! [A bulldagger done stole MY bitch! Bitch told me she don't want no dick!] A bulldagger done stole my bitch She'd rather eat pussy than suck a nigga' dick! [A bulldagger done stole MY bitch! Fuck y'all hoes, y'all hoes ain't shit!]  Verse 2 Bulldaggers come in all shapes, sizes and colors A bitch that eat pussy makes a good dick-sucker Never kiss a bulldagger hoe in the mouth It smells like shit from all the ass she got Freaky hoes got them tendencies Why go that way, bitch, when you can get these? Some girls'll do it, some girls don't A bulldaggin' hoe will do what your boyfriend won't A bulldagger is the worst kind of player hater 'Cause niggas still fuck 'em, that's why they can't fade us Sayin' they strictly dickly, but that ain't true A bulldagger got more bitches than me and you Now bulldaggers, you know they don't play fair They get all the pussy, and they don't share But they game is strong and they tongue is long A bulldagger beat and got yo' bitch and gone! Chorus  Verse 3 I hate bulldaggin' hoes with a passion You motherfuckin' right a nigga gave bashin' You bitches need to get that gay shit off your mind Suckin' 'em up, that's sick, I dick 'em down at night Lickin' clits, suckin' titties, and playin' with kitties And sophisticated dykes'll treat a nigga shitty I can't understand how a bitch with class Would have another hoe's name tattooed on her ass Spittin' at my hoes but they can't be chose Because BITCH, my pussy's bought and paid fo'! Now you motherfuckin' dykes ain't got no shame French-kissin', holdin' hands like it ain't no thing Your game is workin', but I got the last virgin You doin' the slurpin' while I'm doin' the servin' But they game is strong and they tongue is long A bulldagger beat and got yo' bitch and gone!  Chorus  Woman: Naw, mu'fucker.  You tryin' to blow my game?  My bitches Said somethin' to you, my shit just won't be the same Motherfucker, n' I can't have that!! Outro: Yeah, Mr. Mixx and Brother Marquis representin', straight Up on the down south tip!  For the 9-5 shot!  You know we Talkin' 'bout they raggedy ass, nigga, ain't no motherfuckin' Thang, 'knamsayin'?  Don't nobody say 'nything personal Come on, girl, y'know?  Boys back up at that ass!  One time For the bottom!  You know how they do it",04:30,sadness,hip hop,Gangster Love 2.0,16th October 2018,C# Maj,88,-8.59db,4/4,No,27,66,75,76,24,12,9,0,0,0,0,0,0,0,0,0,0,"4Sayken,Baliztik,Revus,Teezee",Kill Bitches,1.0000000000000002,"4Sayken,Baliztik,Revus,Teezee",Baklava,1.0000000000000002,"4Sayken,Baliztik,Revus,Teezee",Fuck Love Remix,0.9998332359700614
Ab-Soul,Track Two,"[Produced by Tae Beast]  [Intro] B-O, what up, my nigga? E3, I'ma get you on these Backwoods, last thing I do, nigga Yeah, oh shit, nigga! Oh shit, nigga! These niggas did done it again Tae Beast, why you do that, man? Why the fuck you had to do that, man? This shit sound like a 100 birds under the Carson Sheriff Station I told Rezack, get off my sack We really out here, my nigga!  [Verse 1] When I roll through the city it give me a rush Yeah, I'm high off life, but I'm rollin' blunts And they couldn't wait for Soul to reappear Click, boom; TNT, TDE, we in here Mm, mm, mm! I can smell fear From a mile away, you might as well get from 'round here I run the town like Roc Nation, no exaggeration Bet I rise like Lazarus, use your imagination Fascinated by you faggots hatin', get an occupation You in violation, provoke annihilation Flow like the Nile River, yo, it's now or never You had a release date, but now it's never Yeah, welcome to the Control System I'm stimulatin' the hoes and educatin' my niggas I wiggle through potholes, my destination is vivid To the end of the road I'm driven, y'all trippin'… Soulo [Hook] And we stuntin' like, Ab-Soul, abstract, asshole (Give the people what they need!) Damn right, let 'em know (You got some kind of disease!) I'm the illest in the business If you ain't with the business, mind your business And we stuntin' like, Ab-Soul, abstract, asshole (Give the people what they need!) Damn right, let 'em know (You got some kind of disease!) I'm the illest in the business If you ain't with the business, mind your business And we stunting like  [Verse 2] Like I ain't never had shit, ‘cause I never had shit Same Chucks, two years straight, doin' bad shit Sick, twist two spliffs out my dime bag shit Pissed, tryna get a good response out this bad bitch Which one of you niggas wanna call my bluff? Wish granted, call his ass granite, now he mopped up Never been locked up, but I keep a sentence Winners win and sinners sin only to ask God forgiveness In this world of luxury cars and legal tender Johnny want me like Wyclef Jean: gone til' November Pop my collar like I'm Don Juan, green to my slippers Just remember that they don't want me to get ignorant Sinister literature, given from this wicked minister Witness your future diminish, no present from Saint Nicholas In particular, you're just a thing of the past I'm a diamond ring in the trash, no reason to brag, it's Ab [Hook] And we stuntin' like, Ab-Soul, abstract, asshole (Give the people what they need!) Damn right, let 'em know (You got some kind of disease!) I'm the illest in the business If you ain't with the business, mind your business And we stuntin' like, Ab-Soul, abstract, asshole (Give the people what they need!) Damn right, let 'em know (You got some kind of disease!) I'm the illest in the business If you ain't with the business, mind your business And we stunting like  [Verse 3] What's your life about? Enlighten me Is you gon' live on your knees or die on your feet? Can't lose, you niggas must admire defeat You lyin' like Nala, nigga, you know where to find a nigga (Del Amo!) Carson in the house The View, The Village, Scottsdale and right back around Can't forget about The Patch, matter fact I got some homies off Grace Ave, we go way back Been runnin' round since L train cut up at Our People Rocket was my role model, Lil Roccett my number one O-migo Went 15 in the back alley, hop fences and skip school Fellowship with the gang members, and goddamn it, I still do But just imagine if Einstein got high and sipped juice Broke rules, got pussy, beat up rookies on Pro Tools You'd probably call his ass Soul Brother #2 And I just took a number two, and ain't this track number two?",04:02,joy,"rap,hip hop,trap",Control System,11th May 2012,D# min,77,-7db,4/4,Yes,35,81,60,41,46,46,2,0,0,0,0,0,0,0,0,0,0,"Rick Ross,JAY-Z",Maybach Music,0.9848712117857759,G Herbo,Feelings,0.9777059388021248,Daddyphatsnaps,One Punch Man Rap,0.9694641601935163
Adam Lambert,Underground,"[Verse 1] When you're gone When you're gone, it's like I'm in one second in time I'm frozen When you're gone When you're gone, it's like I lost one half of my mind Stolen  [Pre-Chorus] 'Cause nobody feels you like I do Nobody kills me like you do Nothing I take can ever cut through I'm in trouble I look at myself and I don't know How I'm stuck to you like velcro Can't rip you off and go solo I'm in trouble  [Chorus] I'm hooked on how you made Me hooked, I'm gonna say it straight I want you, I need you I want you to take me underground I'm hooked, I can't cut you off In my blood, I'm gonna say it now I want you, I need you I want you to take me underground I'm hooked on how you made Me hooked, I'm gonna say it straight I want you, I need you I want you to take me underground I'm hooked, I can't cut you off In my blood, I'm gonna say it now I want you, I need you I want you to take me underground [Verse 2] When you go When you go, it's like I put my life on the line It's over When you go When you go, I'm tripping, but I'm pretending I'm fine So dumb  [Pre-Chorus] 'Cause nobody feels you like I do Nobody kills me like you do Nothing I take can ever cut through I'm in trouble I look at myself and I don't know How I'm stuck to you like velcro Can't rip you off and go solo I'm in trouble  [Chorus] I'm hooked on how you made Me hooked, I'm gonna say it straight I want you, I need you I want you to take me underground I'm hooked, I can't cut you off In my blood, I'm gonna say it now I want you, I need you I want you to take me underground [Bridge] You got me hooked on you, now I'm in trouble Trouble, trouble, yeah  [Chorus] I'm hooked on how you made Me hooked, I'm gonna say it straight I want you, I need you I want you to take me underground I'm hooked, I can't cut you off In my blood, I'm gonna say it now I want you, I need you I want you to take me underground I'm hooked on how you made Me hooked, I'm gonna say it straight I want you, I need you I want you to take me underground I'm hooked, I can't cut you off In my blood, I'm gonna say it now I want you, I need you I want you to take me underground",03:37,sadness,"rock,synthpop,pop",The Original High (Deluxe Version),11th June 2015,D min,93,-7.39db,4/4,No,29,74,37,38,57,6,36,0,0,0,0,0,0,0,0,0,0,Animal Collective,Derek,0.9522250377916038,"Mallow_321,NoFace,GD Mambra",Angst,0.9498995665153845,Masego,Disconnected Shorty from VA,0.9424988402796725
Aesthetic Perfection,The Ones,"Would you believe me if I told the reasons why You can't rest, and drink yourself to sleep at night? Not like it matters, you can't escape, don't even try We speak what no one knows  (Oh, I've got to get to sleep)  You lie awake and you hope it's all in your head You're counting teeth with your tongue, are they all there? There's no relief in the dark from what isn't there But you don't feel alone  We are the ones you should be fearing Come in the night and take your teeth away Now sew up your mouth, and go to sleep, 'cause We'll be there soon to break your heart and spite your face  Now they're finally here and you know what they're looking for With their empty grins they proceed in taking what you owe And you move your lips, but the words, they just fall to the floor So this is how it ends Crawl to the mirror and see all that you've become A grim reflection of all the things that you have done You try to weep, but no tears have or will ever come So this is who you are  We are the ones you should be fearing Come in the night and take your teeth away Now sew up your mouth and go to sleep, 'cause We'll be there soon to break your heart and spite your face  All the stars will burn out sometime We hang by our own rope All the stars will burn out sometime We suffer from inward growth  We are the ones you should be fearing Coming in the night and take your teeth away Now sew up your mouth and go to sleep, cause We'll be there soon to break your heart and spite your faith",06:22,sadness,hip hop,A Violent Emotion,1st January 2008,F# min,94,-6.14db,4/4,No,33,95,53,60,4,27,1,16,0,0,0,0,0,0,0,0,0,Burning Witches,Hexenhammer,0.9777099651495686,KISS,Jungle,0.9726622396978317,Rush,Seven Cities Of Gold,0.9675163054241306
AFI,Dancing Through Sunday,"[Verse 1] Will you join me in this dance, this dance of misery Cradled in imposs- impossibility? Swooning, I am swept away Swept off my feet, with step by step by step We take the lead as drop by drop, we start, to bleed  [Chorus] (Oh, we dance in misery) And we dance on, and we dance on (Oh, we dance in misery) All lost in the arms of our misery, oh (Oh, we dance in misery) And we dance on, and we dance on Swept off our feet by misery, we're swept into the shadows  [Verse 2] Will you lend yourself to beauty that will horrify? Let me hide within your black, the still inside your eyes Deafened, caught within a cry So sensual, as step by step by step, I separate As breath to breath, I suffocate [Chorus] (Oh, we dance in misery) And we dance on, and we dance on (Oh, we dance in misery) All lost in the arms of our misery, oh (Oh, we dance in misery) And we dance on, and we dance on Swept off our feet by misery, we're swept into the shadows  [Bridge] So who will follow? Who is the lead? I know I'll leave a stain, because I bleed As we dance, we all dance We all have no chance in this horrid romance  [Guitar Solo]  [Chorus] (Oh, we dance in misery) And we dance on, and we dance on (Oh, we dance in misery) All lost in the arms of our misery, oh (Oh, we dance in misery) And we dance on, and we dance on Swept off our feet by misery, we're swept into the shadows Swept off our feet by misery, we're swept into the shadows",02:26,sadness,"rock,alternative rock,hardcore",Sing The Sorrow,21st July 2024,D# min,114,-3db,4/4,No,49,98,56,64,9,28,0,0,0,0,0,0,0,0,0,0,0,Arctic Monkeys,The Bad Thing,0.9840654919815766,Royel Otis,Your Voice,0.9792285405083244,"Eva Under Fire,Ice Nine Kills",Blow,0.9755614472937846
Aimee Mann,Brothers Keeper,"[Verse 1] Ladies and gents, fold your tents, 'cause we have a winner Come see your Jane try to train every devil in her There's not a man alive who could tame this creature You better leave the professor behind, see what time will teach her  [Pre-Chorus] And when we've all collected a spectacular sum We'll get a little glimpse of the disaster to come  [Chorus] You can justify what happens then 'Cause how could you have known Leave the dust to dust and say ""Amen"" Put ""Sorry"" on the stone You're not not your brother's keeper, now Your brother's on his own That's how the seeds of avarice are sown  [Verse 2] Shit's just a trick and each week's full of compromises She'll push for a fish like a seal clapping for its prizes There's not a man alive who could wake this sleeper Oh, tie the rope, hide the dope, sure there's hope, but denial's cheaper [Pre-Chorus] And when've all collected a spectacular sum We'll get a Holy Roller in to rattle the drum  [Chorus] You can justify what happens then 'Cause how could you have known Leave the dust to dust and say ""Amen"" Put ""Sorry"" on the stone You're not your brother's keeper, now Your brother's on his own That's how the seeds of avarice are sown  [Bridge] And after the fail, you can wail as they drag the river Silence the band, wring the hand that you didn't give her And every man alive has to sign a waiver To put a coin in the plate, so that fate won't return the favor  [Chorus] You can justify, oh yes you can You've got the microphone Tell them dust is dust and men are men And men all act alone You're not your brother's keeper, now Your brother's on his own That's how the seeds of avarice are sown How the seeds of avarice are sown",04:01,joy,"alternative rock,rock",Charmer,15th August 2024,D# Maj,126,-5.59db,4/4,No,11,68,63,62,3,18,47,3,0,0,0,1,0,0,0,0,1,Crowded House,Heaven That I'm Making,0.9713519201762556,Van Morrison,Western Man,0.9627121666424436,Warren Zevon,Poisonous Lookalike,0.9557761270277998
"Alan Walker,Dash Berlin,Vikkstar",Skies,"[Verse 1] The distance between us, no, it doesn't matter to me If we never see each other, no, it doesn't matter to me (To me)  [Pre-Chorus] And we could forget all the things that we've done As if we've never been to all the places we've gone  [Chorus] 'Cause as long as the skies are blue We're the ocean waves, you will know the truth That as long as the skiеs are blue I will always, always love you 'Causе as long as the skies are blue As the ocean waves, you will know the truth That as long as the skies are blue I will always, always love you  [Drop] I will always, always love you As long as the skies are blue I will always, always love you [Verse 2] They say it's not meant to be, no, it doesn't matter to me (To me) And if no one believes, no, it doesn't matter to me (Oh, to me)  [Pre-Chorus] And we could forget all the things that we've done As if we've never been to all the places we've gone (We've gone)  [Chorus] 'Cause as long as the skies are blue We're the ocean waves, you will know the truth That as long as the skies are blue I will always, always love you 'Cause as long as the skies are blue As the ocean waves, you will know the truth That as long as the skies are blue I will always, always love you  [Drop] I will always, always love you As long as the skies are blue I will always, always love you",02:31,joy,hip hop,Walkerworld,10th November 2023,A min,130,-5.23db,4/4,No,74,69,51,38,4,15,3,0,1,0,0,1,0,0,0,0,0,bbygirl,Payday,0.9774329122093055,Avicii,Addicted to You,0.9752988075532694,"Riley Green,Luke Combs",Different Round Here,0.9745720260127626
