Artist(s),song,text,Length,emotion,Genre,Album,Release Date,Key,Tempo,Loudness (db),Time signature,Explicit,Popularity,Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness,Good for Party,Good for Work/Study,Good for Relaxation/Meditation,Good for Exercise,Good for Running,Good for Yoga/Stretching,Good for Driving,Good for Social Gatherings,Good for Morning Routine,Similar Artist 1,Similar Song 1,Similarity Score 1,Similar Artist 2,Similar Song 2,Similarity Score 2,Similar Artist 3,Similar Song 3,Similarity Score 3
"!!!,Lea Lea",NRGQ,"[Intro] Whoo  [Verse 1] If the waves could take you under Would you never go into the sea? If it stops and makes you wonder Do you freeze or can you let it be? Do the lightning, rain and thunder Leave you waiting for the next regime? Do you calculate the numbers And believe in probability?  [Verse 2] Are you feeling sentimental? Are you feeling insecure? Are you always playing games of ""is it right?"" or ""am I sure?"" Is it feeling kinda hasty? Is it feeling premature? Are you looking for the exit? Are you taking a detour? Are you taking a detour? Are you taking a detour? Are you taking a detour? [Pre-Chorus] Ooh What you do, what you do, what you do, what you doin' to me What you do to me, what you do to me, what you do to me  [Chorus] Hey, what you do to me Energy's getting through to me And I got my eyes forward and that's how they ought to be Baby, baby, I'm here where I need to be (Oh yeah, oh yeah) Feeling fear, but no need to be And I've been caught dead in my tracks, but that's no way to be It's no way to be Ooh, yeah Ooh  [Bridge] Hey, listen to me When I want advice, then give it to me But just keep quiet and don't even try it 'Cause you don't have nothing to say I said hey, talk to me Are you staying here or can you walk with me? And don't deny it if you haven't tried it 'Cause the feeling ain't going away (Come on) I said hey, listen to me When I want advice, then give it to me But just keep quiet and don't even try it 'Cause you don't have nothing to say I said hey, talk to me Are you staying here or can you walk with me? And don't deny it if you haven't tried it 'Cause the feeling ain't going away (Come on) [Verse 2] Are you feeling sentimental? Are you feeling insecure? Are you always playing games of ""is it right?"" or ""am I sure?"" Is it feeling kinda hasty? Is it feeling premature? Are you looking for the exit? Are you taking a detour? Are you taking a detour? Are you taking a detour? Are you taking a detour? Are you taking a?  [Pre-Chorus] Yeah Hey Yeah, uh-huh Yeah, yeah, yeah, yeah, yeah, yeah Yeah, uh-huh, yeah, uh-huh  [Chorus] Hey, what you do to me Energy's getting through to me And I got my eyes forward and that's how they ought to be Baby, baby, I'm here where I need to be (No need to be) Feeling fear, but no need to be And I've been caught dead in my tracks, but that's no way to be It's no way to be  [Outro] Yeah, yeah, oh Uh-huh, what you do to me Yeah",4:30,sadness,hip hop,Shake The Shudder,19th May 2017,C Maj,133,-6.78db,4-Apr,No,31,89,78,80,7,13,5,0,0,0,0,1,0,0,0,0,0,Jennifer Lopez,We Gotta Talk,0.991974731,Peter Tosh,Peace Treaty,0.985576889,Eric Clapton,(I) Get Lost,0.985159961
!Marc¡,Stay,"[Chorus: Quavo] When the plane come down in your town And we only in town for three days No matter how far I go, she always hold me down She say I always got somewhere to stay, stay, stay Always got somewhere to stay No matter how far I go, she always hold me down That's why everywhere I go I always save a plane  [Verse 1: Quavo] I told you once I ain't gon tell you twice Better back off my bitch young nigga or you might lose your life Just me and her ridin round in my two-seater We made plenty millions that was the first time I showed her the egg beater Remember the time the police they lock me up and you buying me out Remember that time they wanted you to talk and you close your mouth That's why I fuck with you, I really can’t say I love you But I do really fuck with you, like everything that you do and she know  [Chorus: Quavo] When the plane come down in your town And we only in town for three days No matter how far I go, she always hold me down She say I always got somewhere to stay, stay, stay Always got somewhere to stay No matter how far I go, she always hold me down That's why everywhere I go I always save a plane [Verse 2: Dirty Dave] Rap game that's Birmingham, Alabama, Savannah, Atlanta Any city any place No matter where I go in the world I got a chick to keep a nigga straight When I call lil mama she come through Sacks full of cash we run through Fuck all day, fuck all night Where ever the fuck we want to I enjoy all the time that we spend, but it never seems to last Now I gotta get back to the cash  [Chorus: Quavo] When the plane come down in your town And we only in town for three days No matter how far I go, she always hold me down She say I always got somewhere to stay, stay, stay Always got somewhere to stay No matter how far I go, she always hold me down That's why everywhere I go I always save a plane  [Verse 3: Offset] No matter how far I go, lil mama she coming to get me She do what she gotta do, she independent I trust her, but I can’t love her She know why young nigga a hustler Got a young nigga's back when I’m trouble Got the body of a goddess, Brazilian mixed with Scottish She exotic, she come from a island I can trust her in the trap, she ain’t gon steal my dope If the feds kick the door I know lil mama won’t fold [Chorus: Quavo] When the plane come down in your town And we only in town for three days No matter how far I go, she always hold me down She say I always got somewhere to stay, stay, stay Always got somewhere to stay No matter how far I go, she always hold me down That's why everywhere I go I always save a plane",2:02,anger,hip hop,STAY ZOOTED,23rd April 2023,C Maj,175,-7.99db,4-Apr,Yes,0,40,72,52,28,12,0,0,0,0,0,0,0,0,0,0,0,SSG Splurge,Gun Fetish,0.985106221,Big Ant Dog,Adore,0.980278778,Yung Mal,Trayvon,0.977093199
"!YADNUS,Daylyt",First Breath,"[Verse: Daylyt] Shit as hot as a fire, require aqua I'm Aqua man, aquafina Just stopped a man called Katrina The meaner of all demeanors We milk'em like Alta Dena No ultimatum shoot Altimas Bullets go through your Nissan Any sign of the piece, I double it, Siamese side Niggas know that I'm east side Bezel, Leave a nigga with crackheads at the Bev High Now I see why I'm too cold I-C-Y man I'm too cold Isley brother that Mister bigger than ever it's contra No contradiction we pill them like top prescription Here's my prediction If y'all get offensive there's consequences so constantly Kinda Stan Lee, it's marvelous moments charcoal opponents? That darkle I'm on it, Darth Vader, Y'all bored Why tour? Through the Star Wars like cardboard Hella links, better tell'em I'm Zelda swinging a large sword You can tell I flow awkward, no acapella We chop 'em like chopped propellers No mark I got more heart than Rockefeller Stay winner but I'm out to get a mil' like a great dinner Shit transparent - Cait Jenner Niggas bury your aroliner, Christmas carol the pharaoh No Carolina just carry line-ups Here to break squares like Darryl Dawkins, no Harold Miners, uh Do you mind, I got heroin in my mind I be thinking too dope like a extra crack rock Black box, I'm just hoping cats box Slap box with the opening hand wet tops Stomach holding the can black locks Ain't no opposite Opposition is my position See I position my position in an odd position Watts commissioner and I get guap commission You niggas got to listen This shit's so fire i can get God to listen Need guidance Who let the guy in the street fight? I'm Guile, Sonic Boom I am whom We don't dream I am Elohim Kilo dream - dope imagination Think helium, Lyt voice is the right choice Choice awards is a light choice eye for an eye but why for? I be a cyborg One eye for the cry One eye for the wifi why try obviously I do not die Terminator You bald head perm done made up your scalp Hand me the scalpel and snap We talk facts, in fact when I'm rapping Fact they be faxing each other Faculty saying that my feats cold, it don't matter I'm the shit, fecal matter My feet cold, it don't matter I got socks on socker boppers It'll be K's at your house - who forgot the Whopper? Get the hard drive Start up the heart you know I be Noah ark if I Start I double the animals on the ship, go for the shark ride Dark times We in dark shine Go for the pigskin, see the pork rinds Poor grinding to be more high More high we get, the poor die Poor strive to get in more house More house we get in more debt And we don't got no more houses They end up bein' close minded 'cause they don't got no more outfits To end up having low energy - they don't got no more outlets So they 'gon shop at outlets, out lettin' frustration waiting In line for fake Jordans Feel they important with imported kicks Weighted emperor, no improvising Pockets on empty Empathy, this is violent This is why we riot Why? Yet we don't get to breathe",1:15,anger,hip hop,LYT II SOCIETY...,13th August 2019,A Maj,86,-10.44db,4-Apr,Yes,4,55,52,78,15,27,45,0,0,0,0,0,0,0,0,0,0,"The Future Kingz,Hopsin",Promo,0.958876135,Lucki Starr,NO GYALIS,0.944508387,"MC Paul Barman,Mofo Snot",Sampling Law,0.932066702
"!YADNUS,Daylyt",Last Breath,"We all claim purple like its the purpose Though we far from the Urkel life Nerd clownin' but clownin' is for the circus, right? Well, that's for cert, Cuz, umm But what about sir cousin whose circumstance to be dickheads? Knife cut 'em, he circumcised Officers come in sizes, they bring the cop out Yet we be quick to cop out Yet we claimin' we cap police Plot with the stock police, watch you gustapo We spot with the plot, bro We stop but don't cap police, watches the top joe They be jokin' in past, remember it's past jokin' Shoot your kid in the head off weed, we be the problem Dock water we tangle like seaweed, see we squab it They recorded it with Tango, homies wonder what tango Hoovers they goin' ape for the orange juice It just tango, mix it with Tanga Red We can't tame the great moments, I'm on it Ownin' every mistake that I made, this shit is well done See world, we all black fish stuck in a well pond Cage killers who raise Phillip, who raise filler Long roads with screw drivers on a mission to flat heads In the back of the flat bed only led to a flat bed High as the Mac in the back shed And brag about how we made niggas back shed 105 extra Garfield, book and leavin' them cats red Write time from a child showed us the pencil Growin' up right still led to the pen so Who give a fuck who done led us to the paper? Gangin' junction and paragraph best ways Paper right to the pen den, we got a battle with essays Sayin' yes to the Mexicans or get hit with the best k's Organ hit with the best K's Ain't no arguin', it was just church organs, the funeral origins Pour the gin for the homies soon as the gin sing We act hard cockin' every weapon we got Preppin' we step to the block One step poppin' at all the bastards Black widows and black windows for shades Shades create the locs, locs create the locusts Green masks for procreation hopeless Dream cast from the dope, we chasin' cokeheads Steady to tumble, ready to rumble Now dream cast the homies played it focused Get our weight up, the shells crackin' buff niggas Who gon' say they the yokest It's apparent that parents don't know yo' kids All they give 'em is yo-yo's And they will line up when they call the popo's Yo-yo's, see the trick is to walk the dog in the sleep stay Sweep stakes for street sweepers Give me room when the beef quake 'cause we need it Never played freeze tag but as a child I stayed still And watch raised villains slay, stay still in my brain I see you, IV2 still in my vein Look what they feed us! Look what they did to defeat us! Promote abortion destroyin' the fetus Feedin' they trap, feedin' the strap, stay feedin' us trap rappers Not rappers rappers who rap like widows wrap Top rappers real in raps Even ghost writers got ghost writers For the longest I been he who done goes higher But I'm tired of that back seat, Rosa Parks in my rap sheet They don't know about the track meet Relay, see they don't credit the nigga who start the first lap The nigga who bought the first rap Same ones at the finish line Why you workin' at Finish Line lettin' em niggas finish lyin'? They get it booked worldwide Then they lie, bury ya, cry for your criteria Tearin' up tearin' notes with the tantrums Coulda been tangible, now you assed-out on cam They treatin' you like DeAngelo Hand you low hands with soft dab Angela Love, hang at a club, paint of a scrub Through Twitter, check the TL, see what they sayin' AC is fans code, nigga, AC don't work And he got his fans blocked, he the man you demand spots While he sit and imagine, you gotta look at that mansion Rappin' your lyrics, you hear it on radio DVD, CD, see we see you USC berk and all Cuz the employees of them industry niggas done jerked you hard Hurt your heart with them heart attacks They had heart attack implants Cardiac you just cartin' yack for customers Pardon the act, they fuck with ya But you don't get no retweets No showcomers, no roadrunners, no beep-beeps So you put out the reference but they don't believe you 'Cause they paid referees in the game Best believe that the game real cold cheaters With low bar meters who need us Meet us at random places and ask for the raps These kinda persons the world label 'em all Allstars with these con verses It's us versus the connest, I should kinda go Congo Apeshit, I ate shit, 'cause I'm kind My kindness found with the soundbite Bitch-ass cold squares, my kind ain't found with these clown dykes And they hike in the mountain Most of these fans likin' what they recitin' Vampire request and y'all love while these niggas bitin' See the whole next wave of these rappers they bloody suck Drag ya luck tryna diss me, it's just me and Ichiban Ichi spawn, we the dawn, see the bond Edomites see the light, breathe!",1:26,joy,hip hop,LYT II SOCIETY...,13th August 2019,A min,77,-11.43db,4-Apr,Yes,4,63,65,92,31,36,60,0,0,0,0,0,0,0,0,0,0,BROCKHAMPTON,ENCINO,0.962571496,Young Buck,Where Im From,0.962057888,Kreayshawn,Im Sick,0.961483856
"!YADNUS,Daylyt",Day Electronica,"[Intro] It's ironic how I can see now The same niggas said I was senile We livin' in an upside down reality Where the smart people get looked down on And the world get praised to go stupid Moments of momentum For those who create my story get snapped on  [Verse] Gettin' laced in them Jordan Downs, it ties you up Crip life, in the ad is how I blew up You ain't grew up how I grew up If I'm it in the hood, then you ain't threw up what I threw up Stomach pains from where it don't rain frequent The hood smell decent And they so high off the lines, sent to the precinct Concrete Crippin', you'll find out what the C meant Tell 'em don't ask faulty questions about the side walker Kill a man, the price is high, but look at Bob Barker I was on the roof, talkin' to my big dog Crazy, I'm playin' Cool Joe, I'm walkin' through the knicks, aw Hell, what was I thinkin'? Couldn't resist the other side, I had to get a peak in They was red linin' crazy, Goodyear ain't the bigger blimp But eight but I'm smart; Caesar, I be the bigger chimp Imperium central, fuck it, I had to get a glimpse I coulda got my brain peeled for bein' limitless Now I'm at a hundred percent to put an end to this Two piece of the Lucy drug Hold on to the ratchet, it ain't a groupie hug Coulda got smoked, I do be thinkin' about it See my mind in the gutter, I do be thinkin' up out it Third walk's up to Third, my ass stroll through the hood Third eye walk up to Third, my astro through the hood Dog feelin' kinda spacey, on Jetsons was lonely Missin' my boy Elroy, Bart poppin' my homie It was springfield action Flowers on every corner, man, the C's still trapped in We need real captains To control this bull we gon' need Phil Jackson The triangles I angle, cry angels if you bother You wanna survive? Become a Dodger cap Tia & Tamera love, niggas better roger that Bastards got popped, but they ain't never got they father back Hope you got your father back Or maybe that's why brodie bother Pops tried to preach to enemies, now he the Holy Father First murder case in five, became the oldest toddler We all seen the outcome of Malcom X But how come the outcome don't outcome Malcom respect? Child support cut X mouth and about to check 'Cause she blew it, verified, cried, now she about to flex Lex Luger, Ma sold the stamps And the kid's clothes was damp It was broke dryers prior to coldest cramps This period in time, desired to roll the tramps On lean in the equation Bounce with the dirty sprite, I seen how they get laid in Shark life of the brave men Grew up in the street, now our life in the pavement And yet they never paid me On the first it was fire, fuck it, feel like we cavemen New whips and a chain – aw, they got us slaved in! See I had a dream to be awakened I was in denial, cut short, this where the lake end Salakem Salam, salami was all I had Phone calls for the pen so Mommy could call her dad See my life was a mess, I'm still spillin' the steel Never got tired, I'm still willin' to kill Independence Day: them ships got us in Terraform Somehow we're scared of war Life on a beach but we wishin' for a better shore See what I'm sayin' B? A new wave",1:24,sadness,hip hop,LYT II SOCIETY...,13th August 2019,D# min,84,-9.69db,4-Apr,Yes,4,54,53,96,27,26,49,0,0,0,0,0,0,0,0,0,0,Da$H,SeXXual Interlude,0.961942642,OG Maco,Get Down,0.9457351,Lil Boom,12 Bars,0.937334987
!zeesh,Camp Fire,"[Verse 1: Bill] Yeah You don't got bars that drop, hard to hit Neighborhood pharmacist Jarring up this haze in the shade to rock cardigans Center starter, better get your starters sparking It's lemon scented a starter to spend a trend In the parks of a very tended I started with every pen then I'm on this shit Late night faze through these tend-to-missing-darker-sins I'm not starting with rappers I'm black Mortus Mac, your fucking ass hard as the glass of the back boarding I'm back, sword them See his ass tour and laugh more from not having fun What the fuck am I writing raps for? I'm the last chord, plug it, I'm coming with nothing but this fucking bruggage Shit, I'm [--] I'm a nuisance I do this I've been fluent But the sin of vins ruin where I been, I been moving Ten for ten rudest Villain of the park Get some sense to them, pillar of the art [Verse 2: Mac Miller] Yeah A little speed and tequila lead me to beat making Was my intention to walk that lead to free basing Spend a few too many thousand wasted Ebay'ing Watch the trust fall, that's team-building exercises It's Fuck Everybody Enterprises You always ten feet ahead, but just a step behind us I guess I'm fine wit let me choose the devil I get to sign with You wet vaginas These rappers are softer than fresh bouq' Iris Obsessed with violence Weapons on deck like dead palace Haven't found God yet, the closest that I get is silence It's never quiet Satan dwell inside their brief cases I'm glad we made it, now I'm thankful I'm a free agent Fresh out of prison, throw the deuces up like Nixon Tell me what's the difference 'tween wisdom and superstition We just civilians, the villains kiss the infants Ain't no such thing as coincidence, shit  [Verse 3: Ab-Soul] Yeah We smoking stupid blunts but my thoughts ain't dumb I got 99 problems but a thot ain't one, uhh All my bitches bisexual and bilingual I got a bible and a rifle, God I'm evil To all these common people, yeah the heat is brewing Kinda like summer school for a UCLA student That's always true and yeah I'm on a roll This is special education for the honor roll I'm kinda throwed, like softballs in a league of their own I've been the shit since I could piss on my own You just a toilet bowl, a foil in the microwave You don't be-long like short-film-casting calls Throw your life away We got that coke that don't get you up in 6-Flags ""Roller Coaster Fast Pass"" That's Ab-Soul; Don't forget the dash ho Put your baton this no 100 yard dash though Soul",1:52,anger,hip hop,Campfire (Freestyle),25th April 2023,D Maj,101,-13.78db,4-Apr,Yes,51,31,64,81,38,79,85,0,0,0,0,0,0,0,0,0,0,Kevin Bloody Wilson,Cant say cunt in canada,0.955422353,Knucks,From Rome With Love,0.947579122,"FILV,Edmofo,Emma Peters,Jvstin",All the Good Girls Go To Hell,0.94018854
"""Blue"" Gene Tyranny",Next Time Might Be Your Time,"[Verse 1] Hey, baby Hey maybe I'm forgetting to say That I stayed with you because I wanted to And you were so very kind You listened to my troubling mind Said ""Leave all that hist'ry behind And deal with life as it's offered to you.""  [Verse 2] Hey, honey You know we'll treat each other just fine If we make the space To have the grace of a natural scene I will listen to you You will listen to me We'll make it up in our own time  [Chorus] You know the next time might be your time To ""love and honor"", to take the bother Just to see this thing through Is that what friends are here for? [Verse 3] Dear companion We could be in Arizona or France What will the world be like, when we see each other free of all circumstance? What difference does it make? Why don't you take a break From whatever puts the pressure on you?  [Verse 4] Oh, listen Can you go back to before you were born? To this time and place and Having to trace who you are day after day? There must have been the light Before the stories took away your sight We're not attached or separate in space  [Chorus] You know the next time might be your time To ""love and honor"", to take the bother Just to see this thing through Is that what friends are here for?  [Verse 4] Oh, listen Can you go back to before you were born? To this time and place and Having to trace who you are day after day? There must have been the light Before the stories took away your sight We're not attached or separate in space [Chorus] You know the next time might be your time To ""love and honor"", to take the bother Just to see this thing through Is that what friends are here for? You know the next time might be your time To ""love and honor"", to take the bother Just to see this thing through Is that what friends are here for?",8:06,joy,jazz,Out of the Blue (40th Anniversary Remaster),22nd March 2019,B min,127,-10db,4-Apr,No,31,56,42,73,3,12,68,5,0,0,0,0,0,0,0,0,0,Greensky Bluegrass,Living Over,0.963111256,Housefires,Song of Moses,0.95440567,Patti Smith,Poppies,0.946633397
"""Blue"" Gene Tyranny",Leading A Double Life,"[Verse 1] He is in the blue distance He is getting nearer She is in the blue distance She is getting so clear I don’t know where they came from I don’t know how we got here I just turned my back and suddenly you were here  [Verse 2] Oh boy, sometimes it seems like it takes forever And then with your friends it takes no effort all Oh it could be a past turn, attachment illusion That makes distance between me Leading a double, double life  [Verse 3] On the other hand, you know it takes some language An agreement for the moment making dreams ring true So with the resistance comes an angel’s assistance Brings it closer and closer Leading a double life [Verse 4] She is in the blue distance She’s a visiting wonder He’s in the blue distance He’s a dream come true Am I sleeping and waking Or just turning over A cellular wonder Leading a double life? Leading a double life?",8:20,joy,hip hop,Out of the Blue (40th Anniversary Remaster),22nd March 2019,D# Maj,94,-13.36db,4-Apr,No,18,12,39,16,3,7,97,0,0,1,0,0,0,0,0,0,0,"Mount Eerie,Julie Doiron",Belief pt. 2,0.992959504,Peter Tosh,Fools Die,0.990091997,Satya,Not Knowing,0.985084853
"""Dear Evan Hansen"" August 2018 Broadway Cast",Part of Me Bonus Track,"[Verse One] In the dark you were swept away And the world wouldn't let you stay All the words that I want to say, I can’t find  [Verse Two] I am lost in remembering Did you soar on an angel's wing? Will your face keep on lingering In my mind?  [Bridge] Oooooh Hear me now Oooooh ooooh Oooooh Hear me now Oooooh ooooh  [Chorus] A part of me Finds a hope in holding on A part of me Won't give up what isn’t gone A part of me Wants to share the hurt and heartache That I felt that day When you took away A part of me [Spoken: ZOE & EVAN] Alana put a copy of your speech online On the Facebook page for The Connor Project? People started sharing it, I guess And now it's, I mean, It's everywhere People from all over the country Yesterday Connor had 12 friends on here How many does he have know? Zoe: 1,239 What happened? You did  [Verse Three] I feel the weight of the world sink in (Connor and I used to ride the same bus) And the chills dance across my skin (We were best friends in 4th grade) (They were inseparable) When I think how you must have been (How you must have been) So alone  [Bridge] (Our son went to school with Connor) Oooooh (He was my friend) Hear me now (I never met you, Connor, but coming on here, reading everyone's posts, it's so easy to feel alone) (But right now, we're not alone. None of us) (Thank you, Evan Hansen, for giving us a space to remember Connor) Oooooh (Share) Oooooh (Sending prayers from Michigan) Oooooh (Vermont) Oooooh (Tampa) Oooooh (Sacremento) Oooooh (Repost) Oooooh (Thank you, Evan) Oooooh (Share) Oooooh (We won't forget you, Connor) Oooooh (Thanks to Evan Hansen) Oooooh (We'll remember Connor) Oooooh (We’ll always remember) [Chorus] A part of me Needs a way to say goodbye A part of me Now remembers how to cry A part of me Wants to share the hurt and heartache So the world can see That you’ll always be A part of me  [Verse Four] You left this life And left me numb All were blind, and deaf, and dumb We didn't know how bad it had become Or how to save you Now every prayer I’ve learned is prayed And every moment shared replayed I won't allow your memory to fade Can I save you?  [Verse Five] The sky collapsed without a sound As broken pieces hit the ground The rain fell down around me and I drowned But I will save you Our secret sorrows overflowed I see them in your afterglow I promise I will never let you go I will save you [Bridge] You are not alone You are not alone You are not alone You are not alone You are not alone You are not alone You are not alone You are not alone You are not alone  [Chorus] A part of me Can't believe it's even real A part of me Doesn’t know how much to feel A part of me Finds a rush within the pain A part of me Needs the feeling to remain A part of me Wants to share the hurt and heartache So the world can see That you'll always be  [Spoken: EVAN & ZOE] I think there's something you should know You make me feel closer to him  [CONNOR] A part of me",5:06,sadness,hip hop,Dear Evan Hansen (Broadway Cast Recording) [Deluxe],2nd November 2018,G# min,95,-5.49db,4-Apr,No,18,56,39,18,4,17,63,0,0,0,0,0,0,0,0,0,0,The Smith Street Band,Dont Mention the War,0.98653345,Etta James,I Got It Bad and That Aint Good,0.981027093,Jonathan Butler,We Need You Lord,0.979010053
"""DEMONS"",Troy Jacobsson,Tristan Jeanneau",25,"[Intro] They felt like they were laying tracks, for the generation to come. I think my mother knew that freedom wouldn't come in her lifetime, just like I know it won't come in mine. It's a matter of, either we stay like this or somebody sacrifice, somebody laying tracks, so we can stay in a 360 degree. Deadly circle, somebody used to break out and risk, you know losing everything and being poor and getting deep down. Cause someone has to do something, had I had a father, had I had some of these opportunities. I would be able to handle my mother more  [Verse 1: Punch] I was taught never trust a nigga, far as you can see him Teach a nigga how to fish, as apposed to try'na feed him Look a man in the eyes, that's the best way to read him Cause faces they change, but point of views remain I got a strange feeling, that I'm a lil bit different Beyond the customs and tradition of a project living My Korean war vet, grandfather's affliction Was stress and I inherited his heart condition And Van Arthur's addiction, was heroin needles Petty hustling, d'evils, that street men lust So I'm mixed with that lethal combination but trust I've only scratched the surface, what's underneath this verse is The feeling of a young boy lost, without a purpose Still waters run deep in the street we were submerged in Police lurking, try'na catch a nigga serving He ain't going back to jail, so he bust a verse [Hook: Kendrick Lamar] This is for my everyday young nigga It don't really matter where you from niggas Before you leave the house, kiss your moms nigga Cause you don't know when that day'll come nigga Cause only Lord knows that I know how you feel What we gotta do just to live Is try not to get our cap peeled, try not to get your cap peeled  [Verse 2: Punch] It's hard to get to know me, unless you hear between bars Tortured soul self contained on my childhood scars I was involved from a far, affected by the street laws Concrete walls, not even earthquakes could shake them brick walls Nickerson garden projects this is me y'all Where Dope dealers have it all and then freefall Caine numbs the pain up and down the ghetto seesaw The voice of the youth, they hear me and they see y'all They don't see a diamond in the rough, they see flaws They should see how we was raised and they would be in awe Against all it gets hard not to kill niggas It's like a full-time job not to grab the semi-auti And go kamikaze on somebody who plotting Probably on my body laying lifeless, ungodly sacrifices To the streets, this is the trinity Money malice and murder the hood's deity [Hook]  [Verse 3] They say the average black man only lives to 25 Well I made it past that and a nigga still alive Which means I'm in the red, I'm indebted to death That's the wages that sin pay, I'm still tracing my steps Leaving my footprints in the sand, the concrete rose That grew on infertile land and blossomed to a grown man My only fear is pops holding moms hand Dripping tears on my casket, I refuse to let it happen By any means avoiding the city traffic Shooters got the green light, they blocking your right of passage A young kid turned savage, city madness A picture painted on the street's canvas, excuse my brashness I'm trying to live to see past this Staring at the world and my rear view past tense In no particular fashion, I'm on borrowed time I'mma grind with a passion  [Hook]  [Outro] Generation to generation to come They won't come in mind Sacrifices, sacrifices, sacrifices Deadly circle, deadly circle",2:08,sadness,hip hop,Rock & Roll with the Punches,22nd December 2022,B min,110,-10.72db,4-Apr,No,14,80,42,62,6,85,0,0,0,0,0,0,0,0,0,0,0,The Vandals,C-H-R-I-S-T-M-A-S,0.98859996,Frank Zappa,Any Downers?,0.987384052,Hellions,Odyssey,0.974904739
