id_subsistema;nom_subsistema;id_estado;nom_estado;nom_usina;id_ons;ceg;din_instante;val_geracao;val_geracaolimitada;val_disponibilidade;val_geracaoreferencia;val_geracaoreferenciafinal;cod_razaorestricao;cod_origemrestricao
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 00:00:00;316.617;;408.7;293.744;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 00:30:00;285.992;;408.7;273.974;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 01:00:00;260.567;;408.7;267.338;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 01:30:00;268.668;;408.186;268.564;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 02:00:00;290.386;;408.7;284.054;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 02:30:00;310.946;;408.7;306.379;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 03:00:00;250.568;;408.7;256.215;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 03:30:00;242.826;;408.675;245.886;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 04:00:00;268.94;;408.211;272.601;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 04:30:00;289.103;;408.7;284.598;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 05:00:00;251.827;;408.7;255.47;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 05:30:00;218.773;;407.96;237.554;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 06:00:00;227.077;;399.919;239.47;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 06:30:00;184.771;;399.1;203.75;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 07:00:00;123.119;;391.495;145.154;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 07:30:00;113.612;142.986;398.902;189.583;;ENE;SIS
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 08:00:00;91.591;98.6;399.1;284.688;;ENE;SIS
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 08:30:00;65.57;71.267;397.279;300.846;;ENE;SIS
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 09:00:00;33.499;39.1;382.553;247.878;;ENE;SIS
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2025-05-01 09:30:00;12.297;20.0;345.444;253.194;;ENE;SIS
