id_subsistema;id_estado;nom_modalidadeoperacao;nom_conjuntousina;nom_usina;id_ons;ceg;din_instante;val_ventoverificado;flg_dadoventoinvalido;val_geracaoestimada;val_geracaoverificada
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 3 I;MAEDT1;EOL.CV.MA.033682-3.01;2025-05-01 00:00:00;7.803;0.0;15.89;18.123
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 3 II;MAEDT2;EOL.CV.MA.033683-1.01;2025-05-01 00:00:00;8.746;0.0;19.896;18.877
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 3 III;MAEDT3;EOL.CV.MA.033684-0.01;2025-05-01 00:00:00;9.038;0.0;19.399;18.776
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 3 IV;MAEDT4;EOL.CV.MA.033685-8.01;2025-05-01 00:00:00;9.959;0.0;24.136;25.487
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 3 V;MAEDT5;EOL.CV.MA.033675-0.01;2025-05-01 00:00:00;9.894;0.0;25.365;21.97
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 3 VI;MAEDT6;EOL.CV.MA.033673-4.01;2025-05-01 00:00:00;8.837;0.0;22.776;23.619
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 3 VII;MAEDT7;EOL.CV.MA.033680-7.01;2025-05-01 00:00:00;10.101;0.0;25.302;26.024
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 3 VIII;MAEDT8;EOL.CV.MA.033686-6.01;2025-05-01 00:00:00;7.775;0.0;15.465;17.492
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 5 I;MAEDC1;EOL.CV.MA.037976-0.01;2025-05-01 00:00:00;9.743;0.0;21.211;19.851
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 5 II;MAEDC2;EOL.CV.MA.037972-7.01;2025-05-01 00:00:00;9.818;0.0;20.903;21.998
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 6 I;MAEDS1;EOL.CV.MA.037970-0.01;2025-05-01 00:00:00;9.946;0.0;20.912;24.187
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 6 II;MAEDS2;EOL.CV.MA.037967-0.01;2025-05-01 00:00:00;9.837;0.0;18.094;18.608
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 7 I;MAED7I;EOL.CV.MA.040572-8.01;2025-05-01 00:00:00;7.908;0.0;13.919;17.154
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 7 II;MAED72;EOL.CV.MA.040573-6.01;2025-05-01 00:00:00;7.27;0.0;17.026;22.362
N;MA;Tipo II-C;Conj. Paulino Neves;Delta 8 I;MAED8I;EOL.CV.MA.040574-4.01;2025-05-01 00:00:00;6.973;0.0;13.45;22.088
NE;BA;Tipo II-C;Conj. Pindaí II 230 kV;Abil;BAEABL;EOL.CV.BA.031402-1.01;2025-05-01 00:00:00;12.598;0.0;16.051;14.92
NE;BA;Tipo II-C;Conj. Tamboril II;Acácia;BAECAC;EOL.CV.BA.031418-8.01;2025-05-01 00:00:00;13.888;0.0;14.677;9.493
NE;BA;Tipo II-C;Conj. GPEXPAN;Acauã;BAEACU;EOL.CV.BA.031433-1.01;2025-05-01 00:00:00;3.7;1.0;0.0;5.932
NE;BA;Tipo II-C;Conj. Igaporã II;Alvorada;BAUEAV;EOL.CV.BA.030320-8.01;2025-05-01 00:00:00;12.237;0.0;7.507;7.241
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Amescla;BAEAMC;EOL.CV.BA.032090-0.01;2025-05-01 00:00:00;16.103;0.0;12.316;8.161
NE;BA;Tipo II-C;Conj. Morrão;Ametista;BAUEAT;EOL.CV.BA.030779-3.01;2025-05-01 00:00:00;12.569;0.0;26.58;26.635
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Angelim;BAEGEL;EOL.CV.BA.032091-9.01;2025-05-01 00:00:00;11.771;0.0;17.328;15.533
NE;BA;Tipo II-C;Conj. BW Guirapá I;Angical;BAEANG;EOL.CV.BA.030732-7.01;2025-05-01 00:00:00;12.61;1.0;0.0;11.347
NE;BA;Tipo II-C;Conj. GPEXPAN;Angical 2;BAEAN2;EOL.CV.BA.031435-8.01;2025-05-01 00:00:00;3.6;1.0;0.0;2.011
NE;BA;Tipo II-C;Conj. Tamboril II;Angico;BAENGI;EOL.CV.BA.031404-8.01;2025-05-01 00:00:00;17.437;0.0;7.756;6.495
NE;BA;Tipo II-C;Conj. GPEXPAN;Arapapá;BAEARA;EOL.CV.BA.031434-0.01;2025-05-01 00:00:00;7.8;1.0;0.0;1.568
NE;BA;Tipo II-C;Conj. GPEXPAN;Ararinha Azul;BAEARZ;EOL.CV.BA.037001-0.01;2025-05-01 00:00:00;12.229;0.0;18.294;18.545
NE;BA;Tipo II-C;Conj. Ourolândia II;Aroeira 1;BAAR01;EOL.CV.BA.044940-7.01;2025-05-01 00:00:00;13.304;0.0;46.279;45.657
NE;BA;Tipo II-C;Conj. Ourolândia II;Aroeira 2;BAAR02;EOL.CV.BA.044947-4.01;2025-05-01 00:00:00;9.674;0.0;32.715;36.12
NE;BA;Tipo II-C;Conj. Ourolândia II;Aroeira 3;BAAR03;EOL.CV.BA.044948-2.01;2025-05-01 00:00:00;10.256;0.0;35.918;41.536
NE;BA;Tipo II-C;Conj. Ourolândia II;Aroeira 4;BAAR04;EOL.CV.BA.044949-0.01;2025-05-01 00:00:00;17.275;0.0;42.218;40.339
NE;BA;Tipo II-C;Conj. Ourolândia II;Aroeira 5;BAAR05;EOL.CV.BA.044950-4.01;2025-05-01 00:00:00;8.127;0.0;22.129;34.037
NE;BA;Tipo II-C;Conj. Ourolândia II;Aroeira 6;BAAR06;EOL.CV.BA.044951-2.01;2025-05-01 00:00:00;10.728;0.0;33.739;33.628
NE;BA;Tipo II-C;Conj. Ourolândia II;Aroeira 7;BAAR07;EOL.CV.BA.044952-0.01;2025-05-01 00:00:00;9.942;0.0;38.223;33.875
NE;BA;Tipo II-C;Conj. Ourolândia II;Aroeira 8;BAAR08;EOL.CV.BA.044953-9.01;2025-05-01 00:00:00;5.809;1.0;0.0;35.776
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 4 I;BAEA41;EOL.CV.BA.050463-7.01;2025-05-01 00:00:00;3.025;0.0;0.891;0.756
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 4 II;BAEA42;EOL.CV.BA.050464-5.01;2025-05-01 00:00:00;8.049;0.0;16.368;9.451
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 4 III;BAEA43;EOL.CV.BA.050465-3.01;2025-05-01 00:00:00;7.807;0.0;17.999;19.184
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 4 IV;BAEA44;EOL.CV.BA.050466-1.01;2025-05-01 00:00:00;6.775;0.0;11.971;9.525
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 4 V;BAEA45;EOL.CV.BA.050467-0.01;2025-05-01 00:00:00;7.051;0.0;13.75;11.47
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 4 VI;BAEA46;EOL.CV.BA.050468-8.01;2025-05-01 00:00:00;7.946;0.0;16.791;10.76
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 5 I;BAEA51;EOL.CV.BA.051784-4.01;2025-05-01 00:00:00;4.403;0.0;2.342;2.434
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 5 II;BAEA52;EOL.CV.BA.051785-2.01;2025-05-01 00:00:00;3.855;0.0;2.027;1.189
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 5 III;BAEA53;EOL.CV.BA.051786-0.01;2025-05-01 00:00:00;2.968;0.0;0.98;0.404
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 5 IV;BAEA54;EOL.CV.BA.051787-9.01;2025-05-01 00:00:00;7.922;0.0;17.712;8.424
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 5 V;BAEA55;EOL.CV.BA.051788-7.01;2025-05-01 00:00:00;7.388;0.0;12.239;14.782
NE;BA;Tipo II-C;Conj. Laranjeiras;Assuruá 5 VI;BAEA56;EOL.CV.BA.051789-5.01;2025-05-01 00:00:00;8.485;0.0;19.605;13.843
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Assuruá II;BAEA02;EOL.CV.BA.031343-2.01;2025-05-01 00:00:00;6.269;0.0;5.299;3.38
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Assuruá III;BAEA03;EOL.CV.BA.032342-0.01;2025-05-01 00:00:00;6.81;0.0;3.185;1.68
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Assuruá IV;BAEA04;EOL.CV.BA.032343-8.01;2025-05-01 00:00:00;3.414;0.0;1.135;0.167
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Assuruá V;BAEA05;EOL.CV.BA.031341-6.01;2025-05-01 00:00:00;5.75;0.0;2.906;1.316
NE;BA;Tipo II-C;Conj. Gentio do Ouro I;Assuruá VII;BAEA07;EOL.CV.BA.031356-4.01;2025-05-01 00:00:00;2.295;0.0;0.217;0.069
NE;BA;Tipo II-C;Conj. Tanque Novo;Aura Caetité 01;BAACA1;EOL.CV.BA.044959-8.01;2025-05-01 00:00:00;8.138;0.0;16.49;18.002
NE;BA;Tipo II-C;Conj. Tanque Novo;Aura Caetité 02;BAACA2;EOL.CV.BA.044960-1.01;2025-05-01 00:00:00;8.702;0.0;26.665;27.808
NE;BA;Tipo II-C;Conj. Tanque Novo;Aura Caetité 03;BAACA3;EOL.CV.BA.032804-9.01;2025-05-01 00:00:00;7.482;0.0;18.327;21.667
NE;BA;Tipo II-C;Conj. Tanque Novo;Aura Caetité 04;BAACA4;EOL.CV.BA.032805-7.01;2025-05-01 00:00:00;8.616;0.0;15.061;15.326
