Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S24127700024,02/19/2015,3678,"Smoke Shop, The",1918 SE 14TH ST,DES MOINES,50320,POINT (-93.597011 41.570844),77,Polk,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41783,Uv Blue Raspberry Vodka Mini,6,500,4.89,7.34,2,14.68,1.00,0.26
S15066200002,10/10/2013,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,305,MHW Ltd,904969,Sabe Premiom Sake Double Barrel,6,750,14.99,22.49,6,134.94,4.50,1.19
S19323500030,06/03/2014,2607,Hy-Vee Wine and Spirits / Shenandoah,520 SO FREMONT,SHENANDOAH,51601,POINT (-95.385111 40.761736),73,Page,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45277,Paramount White Rum,12,1000,4.34,6.51,12,78.12,12.00,3.17
S23334500013,01/06/2015,4810,Kum & Go #518 / Ankeny,3603 NE OTTERVIEW CIRCLE,ANKENY,50021,POINT (-93.572458 41.760989),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43121,Bacardi Superior Rum Mini,12,500,5.54,8.31,1,8.31,0.50,0.13
S09742200010,12/27/2012,4025,Karam Kaur Khasriya Llc,702 13TH ST,BELLE PLAINE,52208,POINT (-92.277759 41.897052),06,Benton,1012100,CANADIAN WHISKIES,260,Diageo Americas,11298,Crown Royal Canadian Whisky,6,1750,31.00,46.49,2,92.98,3.50,0.92
S15034600007,10/09/2013,4583,Kum & Go #5100 / Manson,208 MAIN ST,MANSON,50563,POINT (-94.534532 42.517855),13,Calhoun,1081200,CREAM LIQUEURS,305,MHW Ltd,73050,Rumchata,6,750,12.50,18.75,6,112.50,4.50,1.19
S25185100053,04/21/2015,5080,C's Liquor Store,719 2ND AVE W,SPENCER,51301,POINT (-95.147741 43.14521),21,Clay,1081390,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69713,Dr. McGillicuddy's Peach Mini,12,500,4.96,7.44,1,7.44,0.50,0.13
S25786400073,05/21/2015,5102,Wilkie Liquors,"724, 1st  ST  SE",MOUNT VERNON,52314,POINT (-91.410401 41.918328),57,Linn,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36307,Hawkeye Vodka,12,1000,4.05,6.08,24,145.92,24.00,6.34
S26178600169,06/15/2015,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,Des Moines,1081600,WHISKEY LIQUEUR,260,Diageo Americas,66206,Piehole Cherry Pie Mini,12,500,4.90,7.35,1,7.35,0.50,0.13
S11599200028,04/11/2013,2630,Hy-Vee Drugstore #2 / WDM,1010  60TH ST,WEST DES MOINES,50266,POINT (-93.790534 41.584979),77,Polk,1071100,AMERICAN COCKTAILS,395,Proximo,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.20,12.30,6,73.80,10.50,2.77
