VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2024-06-01 00:03:46,2024-06-01 00:31:23,1.0,12.5,1.0,N,138,195,1,48.5,7.75,0.5,11.55,0.0,1.0,69.3,0.0,1.75
2,2024-06-01 00:55:22,2024-06-01 01:08:24,1.0,4.34,1.0,N,138,7,1,20.5,6.0,0.5,8.4,0.0,1.0,38.15,0.0,1.75
1,2024-06-01 00:23:53,2024-06-01 00:32:35,1.0,1.3,1.0,N,166,41,1,10.0,1.0,0.5,3.1,0.0,1.0,15.6,0.0,0.0
1,2024-06-01 00:32:24,2024-06-01 00:40:06,1.0,1.2,1.0,N,148,114,1,8.6,3.5,0.5,0.2,0.0,1.0,13.8,2.5,0.0
1,2024-06-01 00:51:38,2024-06-01 00:58:17,1.0,1.0,1.0,N,148,249,1,7.2,3.5,0.5,2.0,0.0,1.0,14.2,2.5,0.0
2,2024-06-01 00:26:13,2024-06-01 00:37:21,1.0,1.5,1.0,N,48,229,1,11.4,1.0,0.5,2.0,0.0,1.0,18.4,2.5,0.0
2,2024-06-01 00:01:04,2024-06-01 00:57:48,1.0,18.41,2.0,N,132,48,1,70.0,0.0,0.5,0.15,6.94,1.0,82.84,2.5,1.75
1,2024-06-01 00:43:55,2024-06-01 00:49:03,4.0,1.4,1.0,N,140,236,1,7.9,3.5,0.5,2.6,0.0,1.0,15.5,2.5,0.0
2,2024-05-31 23:38:07,2024-05-31 23:51:42,1.0,2.31,1.0,N,230,239,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,2024-06-01 00:00:09,2024-06-01 00:05:11,1.0,0.74,1.0,N,142,239,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2024-06-01 00:16:07,2024-06-01 00:36:14,1.0,1.78,1.0,N,48,170,1,17.7,1.0,0.5,1.0,0.0,1.0,23.7,2.5,0.0
2,2024-06-01 00:07:59,2024-06-01 00:19:43,1.0,2.94,1.0,N,234,142,1,15.6,1.0,0.5,5.15,0.0,1.0,25.75,2.5,0.0
2,2024-06-01 00:34:56,2024-06-01 00:43:47,1.0,1.82,1.0,N,186,43,1,11.4,1.0,0.5,1.5,0.0,1.0,17.9,2.5,0.0
2,2024-06-01 00:19:02,2024-06-01 00:27:30,1.0,1.26,1.0,N,158,125,1,9.3,1.0,0.5,0.0,0.0,1.0,14.3,2.5,0.0
2,2024-06-01 00:34:08,2024-06-01 00:41:19,1.0,1.04,1.0,N,249,68,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2024-06-01 00:11:50,2024-06-01 00:34:56,1.0,3.7,1.0,N,50,4,1,22.6,3.5,0.5,4.0,0.0,1.0,31.6,2.5,0.0
1,2024-06-01 00:49:34,2024-06-01 00:56:29,2.0,0.9,1.0,N,137,234,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0
2,2024-06-01 00:06:49,2024-06-01 00:20:51,1.0,5.4,1.0,N,50,116,2,24.0,1.0,0.5,0.0,0.0,1.0,29.0,2.5,0.0
1,2024-06-01 00:28:48,2024-06-01 00:39:02,1.0,1.5,1.0,N,162,164,2,11.4,3.5,0.5,0.0,0.0,1.0,16.4,2.5,0.0
2,2024-06-01 00:14:52,2024-06-01 00:43:25,1.0,5.3,1.0,N,231,143,1,30.3,1.0,0.5,7.06,0.0,1.0,42.36,2.5,0.0
2,2024-06-01 00:28:02,2024-06-01 00:48:48,1.0,4.87,1.0,N,79,239,1,24.7,1.0,0.5,5.94,0.0,1.0,35.64,2.5,0.0
1,2024-06-01 00:30:38,2024-06-01 00:51:28,1.0,3.9,1.0,N,261,246,1,22.6,3.5,0.5,2.0,0.0,1.0,29.6,2.5,0.0
1,2024-06-01 00:17:52,2024-06-01 00:21:48,1.0,0.8,1.0,N,237,263,1,6.5,3.5,0.5,2.0,0.0,1.0,13.5,2.5,0.0
1,2024-06-01 00:47:34,2024-06-01 01:07:54,2.0,4.4,1.0,N,249,239,1,21.9,3.5,0.5,3.0,0.0,1.0,29.9,2.5,0.0
1,2024-06-01 00:22:51,2024-06-01 00:33:43,1.0,1.5,1.0,N,255,80,1,11.4,1.0,0.5,3.45,0.0,1.0,17.35,0.0,0.0
2,2024-06-01 00:28:06,2024-06-01 00:49:27,1.0,2.42,1.0,N,249,209,1,19.1,1.0,0.5,4.82,0.0,1.0,28.92,2.5,0.0
2,2024-06-01 00:53:06,2024-06-01 01:06:08,1.0,4.22,1.0,N,87,137,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0
2,2024-06-01 00:10:11,2024-06-01 00:19:39,1.0,1.83,1.0,N,114,87,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0
2,2024-06-01 00:41:15,2024-06-01 00:55:16,1.0,1.84,1.0,N,231,68,1,14.2,1.0,0.5,2.0,0.0,1.0,21.2,2.5,0.0
2,2024-06-01 00:59:12,2024-06-01 01:12:01,3.0,2.36,1.0,N,263,238,1,14.2,1.0,0.5,5.76,0.0,1.0,24.96,2.5,0.0
1,2024-06-01 00:09:24,2024-06-01 00:17:13,1.0,1.8,1.0,N,239,163,1,10.7,3.5,0.5,5.0,0.0,1.0,20.7,2.5,0.0
