run_id,scenario,param,value,workers,rep,throughput_rps,avg_latency_ms,total_input_rows,n_nonempty_batches,sum_trigger_ms_nonempty
B_workers1_w1_rep1,B,workers,1,1,1,15673.2,66993.5,2100000,2,133987.0
B_workers1_w1_rep2,B,workers,1,1,2,19387.7,54158.0,1050000,1,54158.0
B_workers1_w1_rep3,B,workers,1,1,3,17245.8,57985.0,2000000,2,115970.0
B_workers2_w2_rep1,B,workers,2,2,1,27885.8,35860.5,2000000,2,71721.0
B_workers2_w2_rep2,B,workers,2,2,2,27296.7,36634.5,2000000,2,73269.0
B_workers2_w2_rep3,B,workers,2,2,3,25166.7,39735.0,2000000,2,79470.0
B_workers3_w3_rep1,B,workers,3,3,1,24106.3,41483.0,2000000,2,82966.0
B_workers3_w3_rep2,B,workers,3,3,2,24594.5,40659.5,2000000,2,81319.0
B_workers3_w3_rep3,B,workers,3,3,3,24662.7,40547.0,2000000,2,81094.0
A_cores1_w1_rep1,A,cores,1,1,1,19148.3,52224.0,1000000,1,52224.0
A_cores1_w1_rep2,A,cores,1,1,2,19680.4,50812.0,1000000,1,50812.0
A_cores1_w1_rep3,A,cores,1,1,3,21067.7,47466.0,1000000,1,47466.0
A_cores2_w1_rep1,A,cores,2,1,1,24628.1,40604.0,1000000,1,40604.0
A_cores2_w1_rep2,A,cores,2,1,2,24983.1,40027.0,1000000,1,40027.0
A_cores2_w1_rep3,A,cores,2,1,3,25135.1,39785.0,1000000,1,39785.0
